"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"June",1995,-3645.16129032258,-4464.28571428571,-3823.60677887195,-4151.67905674555,-488.78510507203,-4487.59071548946,-9552.12300522988,-10715.0458740666,-10924.6972413256,-10037.1444857074,-9011.14223438211,-5290.32258064516
"June",1996,-4516.12903225806,-3901.64558727055,-4550,-4130,-3954.77347869958,-4505,-11175.4581802229,-11239.9224418863,-8451.37444956937,-9878.46560310525,-8618.87678274286,-2887.65546586848
"June",1997,25303.9611575079,1892.68693741496,-4061.03868433824,-3472.72243362633,-3001.80492544817,-4380.08167548647,-10770.887017685,-11105.9314005948,-7173.6812919398,-7067.74929261523,-8272.58883448183,-5290.32258064516
"June",1998,-4516.12903225806,4497.47498348528,-4396.97937212721,-2213.78560424572,-138.459883505045,-2151.00158757681,-8295.53495933916,-9396.77261542829,-9700.64241918684,-8994.68900855361,-8731.77252733494,-5290.32258064516
"June",1999,-4516.12903225806,-4625,-4550,-3978.57347774935,-3851.56932351474,-4505,-11014.8620607804,-10317.2991938263,-10010.4039607037,-8735.08751048703,-5921.99551787305,-3234.74705676334
"June",2000,-3645.16129032258,-3863.73954326973,-4025,-3995,-3863.14452452763,-4490,-11090.3548149169,-10926.2672533571,-7223.0374944187,-6537.35728329206,-5631.29419644267,-3996.64718704077
"June",2001,-3528.08489694059,-3580.35714285714,-3905,-2074.7921840478,-3103.86446070771,-4400,-5845.31745381451,-4604.66541214367,-5165.0581468529,-3667.59617706294,-5223.15151906723,-5290.32258064516
"June",2002,-3875.96774193548,-4030.35714285714,-3500,-2702.27505812461,-2725.41045761105,-4400,-8030.96983125777,-6146.07747617162,-4958.94169053589,-4840.47877287464,-4783.28129976992,-5290.32258064516
"June",2003,-3875.96774193548,-3741.07142857143,-3500,-2364.47239569587,-3278.44973093253,-4490,-11222.8389788788,-11572.8455929307,-8802.3973553394,-7038.88648259396,-5046.17925023709,-5290.32258064516
"June",2004,-4343.38709677419,-4237.06896551724,-3575,-2578.35273300863,-2716.69838256894,-4475,-11212.1753087855,-11216.8772907633,-6253.43197349602,-6787.097386288,-5573.46364720471,-5290.32258064516
"June",2005,-4363.70967741936,-4030.35714285714,-3500,-3875,-3920.7749872159,-4850,-9201.98082748379,-10806.9346689902,-10002.5182562198,-9209.60221057855,-7958.96070907846,-5290.32258064516
"June",2006,-5000,-4464.28571428571,-395.69576296551,1710.38222838887,4279.48406047739,-4257.29394186004,-8765.53665413119,-10753.2559394351,-10505.3786351802,-9387.24344659596,-9369.25932990228,-5290.32258064516
"June",2007,-5000,-4030.35714285714,-3500,-2343.71366052073,-2868.31178100517,-4400,-11204.8063981388,-6693.57766675285,-7691.32546221988,-6404.64369411643,-4603.68334554827,-3394.15918470993
"June",2008,-3126.93548387097,-3991.37931034483,-1494.46218027472,-2121.67032143906,-2053.69267667593,-2366.26734357192,-3636.65019934623,-2934.05558224548,-4258.63578495374,-3151.34919789291,-1108.83639374596,-3098.30948391505
"June",2009,-119.786611096543,-3808.03571428571,-4325,-1494.53330534067,-3020.96701449691,-4850,-5024.18131559626,-5086.83092514546,-6713.09112521013,-5737.71471292725,-3649.40067157009,-3158.27581528109
"June",2010,-3439.51612903226,-3982.14285714286,-3905,-3389.84294315691,-3482.86286850746,-4475,-11063.4639646157,-11094.375240157,-9685.38278592818,-9548.39289614765,-9177.36989808884,-5290.32258064516
