"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"StatusQuo",1995,-3645.16129032258,-4464.28571428572,-4025,-3666.75755800715,-1480.2430912409,-4696.8427491219,-6977.16294429054,-9872.26324876248,-10527.613086908,-7936.14993263909,-9869.48991123982,-5290.32258064516
"StatusQuo",1996,-4516.12903225807,-3586.84911626774,-4550,-4130,-4134.16156525944,-4505,-11015.372179906,-10646.6775580645,-7097.20999995034,-8127.47961547991,-8354.84863218909,-5069.84677079743
"StatusQuo",1997,19363.2668998064,980.684541575844,-3650,-3477.2273208555,-4044.75071658245,-4078.06734654343,-10559.0374908401,-11085.0235598563,-8693.2905803313,-5380.22264022915,-8885.16988285321,-9882.38653609718
"StatusQuo",1998,-3645.16129032258,2734.8943392104,-4298.77107949459,-2410.68646427153,-1480.52406019482,-3264.69831872014,-6618.32183904639,-8822.87805753926,-9526.86693108525,-8632.56193460801,-8691.01444883715,-5290.32258064516
"StatusQuo",1999,-4516.12903225806,-4223.21428571428,-3650,-3457.21013642545,-4010.03361332936,-4505,-11118.6136218338,-11228.8564166724,-8331.97498210431,-7296.69743973235,-9390.71298279858,-8356.06937875696
"StatusQuo",2000,-3645.16129032258,-4625,-4025,-3995,-4190,-4490,-9852.9560384841,-9524.05375862567,-5249.34451280609,-8103.73415754901,-8934.2463287687,-4595.42809239938
"StatusQuo",2001,-4745,-3580.35714285714,-3905,-2057.42977312991,-2891.09427894274,-4324.57304175449,-5968.12607045901,-4472.58599119356,-5547.49892725058,-3937.25999850588,-6020.13170163483,-5290.32258064516
"StatusQuo",2002,-3875.96774193548,-4030.35714285714,-3500,-2678.15225625997,-2695.11096826262,-4400,-11465.0938752582,-6299.97683036539,-5766.69920557602,-5215.30368182819,-5866.03459394195,-5290.32258064516
"StatusQuo",2003,-3875.96774193548,-3741.07142857143,-3500,-2549.99941389856,-3402.5055609083,-4490,-10899.1685451578,-10579.4115913319,-9937.89222942126,-3320.61882214787,-8848.79566406337,-5290.32258064516
"StatusQuo",2004,-4343.38709677419,-4187.93103448276,-3575,-2768.28506583885,-2725.33745328666,-4475,-11269.4626847292,-11584.624737251,-7298.03057634941,-7134.83780703005,-5829.15165317666,-5290.32258064516
"StatusQuo",2005,-4363.70967741936,-4030.35714285714,-3500,-4430,-4715,-4850,-9740.63392223716,-10766.2565060721,-10342.745904242,-9368.68658241179,-9502.4556615285,-5290.32258064516
"StatusQuo",2006,-3953.70766806388,-4464.28571428571,-911.116621045897,1946.48258695922,1194.36586366225,-4469.01566905762,-9660.86669046834,-9977.87190093568,-9952.44863766442,-7606.96625073971,-9308.67875439774,-9516.68922656348
"StatusQuo",2007,-5000,-3625.89285714286,-3500,-2452.58316065231,-2761.5377272795,-4400,-11524.9114216388,-5772.96064584035,-7305.04167570017,-6533.50378677861,-5380.76927974288,-3698.72876902137
"StatusQuo",2008,-3126.93548387097,-4040.51724137931,-2775.54072807064,-2361.78165298742,-2500.21527517858,-3509.97684662679,-3966.88293279833,-3077.60438406833,-4541.28804050063,-3490.36472354896,-3636.88198729567,-2653.56509723433
"StatusQuo",2009,-2038.66037882365,-3808.03571428571,-3905,-2790.55741998282,-3032.85190517369,-4400,-6051.79340000604,-5184.3172685796,-6296.08084410806,-5383.00993379036,-3854.60456896561,-3751.33679107324
"StatusQuo",2010,-3126.93548387097,-4030.35714285714,-3905,-3517.03156275368,-3626.80012921531,-4475,-10624.6150977341,-11453.1152851849,-8805.89152177155,-9194.92126909882,-9212.04458888832,-5290.32258064516
"StatusQuo",2011,-4363.70967741936,-4180.56765017739,2060.44145562264,-3743.95022574312,-4777.70907750311,-3668.06065313708,-8054.95048813216,-9119.11264987268,-9721.64153068602,-8710.57499525262,-9106.4218108857,-6812.9810975532
"StatusQuo",2012,-5000,-4250,-3905,-2741.6323127145,-3156.19087265313,-4475,-10929.8835730178,-10734.9019222171,-6496.5934263316,-6048.16672363958,-7313.48319925577,-5290.32258064516
"StatusQuo",2013,-4775,-3816.81769338556,-3500,-2003.1050682847,-2935.98256446475,-4400,-11021.0621057288,-5568.13564103565,-5272.91556230513,-1423.40049090367,-3458.76846566154,-2556.05936054136
"StatusQuo",2014,-767.211758628707,-4625,-4325,-1599.33472233378,-1818.48832809413,-1566.57011208607,-1652.82626575532,-1406.17268165314,-3081.15415740508,-2181.85659982325,-1170.93071788218,-5290.32258064516
