"","region","year","month","IBMR","Date","sal_AltStatusQuo_median","sal_base_median","Strata_code","Taxa_code"
"1","Confluence",1995,1,"acartela",1995-01-01,0.0183737712547852,1,7,5
"2","Confluence",1995,1,"allcopnaup",1995-01-01,0.936190806788369,1,7,7
"3","Confluence",1995,1,"daphnia",1995-01-01,57.1942887289252,1,7,8
"4","Confluence",1995,1,"eurytem",1995-01-01,0.0514016846258064,1,7,11
"5","Confluence",1995,1,"limno",1995-01-01,0.0177159918680497,1,7,1
"6","Confluence",1995,1,"othcalad",1995-01-01,2.19193919803175,1,7,4
"7","Confluence",1995,1,"othcaljuv",1995-01-01,0.534580185243442,1,7,2
"8","Confluence",1995,1,"othclad",1995-01-01,36.4411606020152,1,7,6
"9","Confluence",1995,1,"othcyc",1995-01-01,1.26933156967805,1,7,9
"10","Confluence",1995,1,"other",1995-01-01,5.11744241260529,1,7,10
"11","Confluence",1995,1,"pdiapfor",1995-01-01,0.224882575517626,1,7,12
"12","Confluence",1995,1,"pdiapjuv",1995-01-01,0.224882575517626,1,7,3
"13","Confluence",1995,2,"acartela",1995-02-01,0.0478026633930968,1,7,5
"14","Confluence",1995,2,"allcopnaup",1995-02-01,0.807823319439829,1,7,7
"15","Confluence",1995,2,"daphnia",1995-02-01,3.78121860750167,1,7,8
"16","Confluence",1995,2,"eurytem",1995-02-01,0.20409324583794,1,7,11
"17","Confluence",1995,2,"limno",1995-02-01,0.105309539639834,1,7,1
"18","Confluence",1995,2,"othcalad",1995-02-01,0.773751146706937,1,7,4
"19","Confluence",1995,2,"othcaljuv",1995-02-01,0.401340761997439,1,7,2
"20","Confluence",1995,2,"othclad",1995-02-01,3.99771207548034,1,7,6
"21","Confluence",1995,2,"othcyc",1995-02-01,1.00298885614477,1,7,9
"22","Confluence",1995,2,"other",1995-02-01,1.64741579997379,1,7,10
"23","Confluence",1995,2,"pdiapfor",1995-02-01,0.467301478847058,1,7,12
"24","Confluence",1995,2,"pdiapjuv",1995-02-01,0.467301478847058,1,7,3
"25","Confluence",1995,3,"acartela",1995-03-01,0.0491096793398699,1,7,5
"26","Confluence",1995,3,"allcopnaup",1995-03-01,0.740513358840691,1,7,7
"27","Confluence",1995,3,"daphnia",1995-03-01,7.72655106947045,1,7,8
"28","Confluence",1995,3,"eurytem",1995-03-01,0.133089253810502,1,7,11
"29","Confluence",1995,3,"limno",1995-03-01,0.0650040583969713,1,7,1
"30","Confluence",1995,3,"othcalad",1995-03-01,0.805810581617964,1,7,4
"31","Confluence",1995,3,"othcaljuv",1995-03-01,0.284989943310623,1,7,2
"32","Confluence",1995,3,"othclad",1995-03-01,8.14799259099515,1,7,6
