"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","year"
"1",3269238.0798981,701106.824096473,9480446.74719818,1035752.7599618,1241968.97393847,2108795.36473357,3087436.57092403,4043217.38605212,5323182.69552091,6776397.97568111,1996
"2",2530108.17208017,491823.836841492,8876793.1351964,784111.09902249,955887.581071208,1549168.43055978,2303347.67213463,3087780.78968456,4342869.54224272,5554699.48296949,1997
"3",3287314.88302122,701470.8562331,11569149.0139869,970120.839008729,1133610.19400182,1895779.90667762,2931123.07441376,4226102.44728395,6002874.21201633,7350228.27738256,1998
"4",8005931.68542741,1538317.67642638,29817087.3336472,2214187.15636291,2551676.9004879,4739604.87017595,7005904.34098563,10440686.1888641,13937723.0536001,18359350.3500118,1999
"5",16318088.7156979,2809707.96077499,78076839.7509326,4033603.52928637,4747540.08033255,9334692.82720619,14326846.6395594,21330841.1506796,28467790.0070199,40456917.2597267,2000
"6",23889543.0556453,3988589.78479949,107887505.051464,5827019.2674274,7252312.5466148,13342523.3555567,20815872.6934481,30575478.7741124,41443460.9369794,60426125.8992413,2001
"7",43112964.3448183,8035682.58191918,216051512.211682,10104239.4263284,11897896.3900952,24161874.3870082,35926984.5415244,56556886.9452093,76210520.1512741,112464142.764527,2002
"8",83236113.7271331,15160575.4145486,416705689.233275,18433309.9696993,23646665.2606331,45770181.609948,69016888.8683697,110874878.402569,155552091.386994,204996257.851487,2003
"9",67181647.911203,11481093.77213,315398269.989872,16265148.8642472,17482704.8540788,35299787.5756195,54828431.0529347,86368528.0265588,127500190.822329,189897892.174352,2004
"10",63568482.0083955,7551526.24843262,282063196.918634,15184699.3038398,17305514.8162891,34318627.8204028,50750133.0204403,81108392.4359499,121594444.571632,181555404.068867,2005
"11",71123100.683316,8050693.11651809,325340510.715639,16155803.0236687,17974822.0622449,37190978.1968818,58667648.3577486,87851658.2389318,134684105.792616,191770863.008732,2006
"12",34728185.8498565,4611074.70460941,167299678.823008,7715729.96928329,8936504.44855673,17910868.0869978,27635234.5372996,42868394.8583354,68691548.9960258,100259565.071378,2007
"13",29056962.287326,3780203.16180717,128406357.257203,5943323.53258831,6732173.6770175,14931609.0117418,23320090.1645382,38595802.4527779,56691397.3365513,83280978.7262821,2008
"14",26835471.7629307,3521055.08790976,108635752.649163,5131033.22129335,6482355.99573375,12975604.5062638,21698448.6531383,34446816.0444233,51273532.4735388,83890103.1822129,2009
"15",18092067.5181506,1765235.34574968,76322190.9067652,3339328.25601147,4615137.4687425,8590915.40499695,14793641.9202294,23182696.4513652,33374077.1212382,58727615.1773395,2010
"16",9781959.56829721,692152.831360626,52259427.7517222,1798237.58074196,2212566.13870602,4640624.65058224,7773347.21698754,12265365.5717221,18567168.3223487,33898833.3939857,2011
"17",11307670.8358701,1081787.50311416,65247155.8236141,2063950.07456255,2420965.74128651,5098845.33166816,9000091.92718509,14487819.1983974,21498524.5389638,38330364.4005046,2012
"18",4867869.89437545,409525.302283879,24429542.4534338,747541.444042484,980223.123670859,2120978.38845437,3826124.80255579,6125831.54887467,9535668.40759548,16301455.7616343,2013
"19",2137482.76566934,185467.98486402,10597559.4277604,338253.735405382,432702.861666411,969449.883537021,1715964.4446042,2791096.50181552,4077024.54965858,7022706.89399271,2014
