"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","year"
"1",3080561.15841968,497290.214179238,8004439.02918407,844170.508939942,1113316.33432399,1919105.67070354,2911881.45817553,4044546.74145235,5037099.22368446,6117512.47527452,1996
"2",2560640.99406474,499075.737438348,7424906.85587563,744077.740974692,884898.458114274,1598838.74293442,2414164.05846925,3361023.22224521,4168610.39991242,5349282.35035263,1997
"3",3581163.80971422,507395.630487497,11515435.4117186,824723.222621484,1093524.20190148,2120840.27812936,3408560.88893182,4692911.18721185,6136810.63064265,7830194.98331028,1998
"4",8822629.09279391,1385646.84043,29481314.2467092,2104610.27621402,2699422.2858444,5132530.39496226,8147672.18496382,11262224.5233015,14942997.802336,19244782.1077938,1999
"5",18042056.5238763,2531259.84044969,59931943.1681504,4006445.5105943,5188977.16043614,10206412.2515833,16489313.6871982,23539906.3677537,31635103.7044485,40709076.3039763,2000
"6",27094702.411182,4317764.62423007,80226723.1405477,6029015.71188918,8013666.52395692,15039593.2661678,24498029.9866139,36073606.6287614,48157389.7133039,64273366.9169981,2001
"7",48891103.0888382,7961593.45397174,171743316.852544,10879864.3421844,13510359.7288654,26709498.1441961,43295940.5229629,62944351.827599,88798610.8000556,118858408.755326,2002
"8",94429331.2823115,15767604.4375869,362433660.410186,20040399.5535669,26180658.6566918,51195814.0156928,84648050.0906538,125490400.592604,165232273.481678,235654246.468956,2003
"9",79980571.7620138,10320726.5544809,339297707.697901,16736893.7465251,20909456.8186553,41660946.4196752,70248224.3856259,105780173.493469,145079466.854672,215419727.428012,2004
"10",75986283.6995954,7541681.82496044,321489679.676303,15586296.4794821,18587705.016666,37610986.3312521,65754241.5714732,97662354.6997454,134933294.445354,213284740.754568,2005
"11",84974581.5598064,6963290.58461036,338721648.872617,18443681.2253684,22165467.2921741,43982434.4412921,74798327.5561771,111284893.854224,157032025.626217,245874341.385324,2006
"12",41550954.5089923,3787117.15304137,174270208.712872,8582867.40774122,10961253.7336212,20578142.3468608,35733684.6982985,53903070.5358107,77309710.8611277,130524952.389849,2007
"13",34272394.9323872,2478546.58758769,131461773.623596,6424146.10677636,8324796.09878758,16141577.2399691,29510611.3403236,44164756.8397086,63272305.0176379,96011993.1858678,2008
"14",29816371.0391494,2119671.74771698,134938225.589307,5397977.86406537,7049740.90356462,14331330.5610072,24473012.7502644,38790803.5742775,54855689.3906397,85484287.1269121,2009
"15",17862474.6317656,1327876.53025612,91898666.6048005,3213889.38105603,4015347.64037619,8210840.42419274,14855800.0949288,22883727.5171862,34682652.0624628,50420277.4673465,2010
"16",9348017.75614941,552188.757176228,54985982.7816732,1685139.95941446,2190573.65939138,4693446.22629535,7783087.03071258,11319658.3838798,18693106.0909683,28153075.8092314,2011
"17",10981088.6554422,657561.875136742,68861528.7120081,1962734.96746092,2294313.03686035,5434293.20957469,9064410.5555715,13754282.3479224,21889391.2655915,32790936.7881221,2012
"18",4737037.2100499,355546.654522142,27747544.081575,715672.033539855,967240.679914541,2012955.09775214,3828517.99670336,5910718.06449188,9285553.76805458,15065343.995532,2013
"19",2132486.59720276,173053.726016063,17428798.2966443,310342.853516418,387448.35246694,965431.623704825,1659067.06046618,2733645.80080343,4402269.44831947,6906062.66015497,2014
