"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","year"
"1",887736.05103952,168170.828859405,2404691.50570128,322295.509267995,354175.361241181,633234.959459713,857932.798791294,1064302.16845175,1319294.17818365,1876371.68509517,1996
"2",1077207.69835805,219828.083461238,2655422.52489346,382693.342048428,434730.568494365,741400.776259024,1027908.05472199,1314249.58977197,1630903.42437196,2177015.3236721,1997
"3",1972533.651009,391733.843354591,5526124.79789252,664603.121031712,822974.985734013,1318712.91088421,1833211.20025391,2476458.01240483,3113074.53348141,4090788.71095465,1998
"4",4935881.40667552,1128260.36464145,15198722.8284894,1626131.51663705,1962706.06139446,3226844.40348547,4475752.1871711,6076098.74194342,7839502.57294103,11010106.5635509,1999
"5",11826002.5341186,2952108.39560263,45272157.1274205,3599016.75871983,4135062.3878576,7552240.16744047,10676078.3719073,14815245.6916759,20335723.8719584,25337178.4938606,2000
"6",18961191.8433772,3188602.11513581,74960980.6589553,5481037.21801188,6232389.89824741,12018364.9315275,16388493.1985499,23997593.3877833,32199513.6516891,44157575.5953365,2001
"7",35090601.3630461,5296926.32092259,117348319.007176,10024407.5653359,11330691.0232262,21201164.6961605,31485563.4377596,44521037.701455,60305189.6300419,79441520.9872269,2002
"8",71921330.5357003,10055571.7072002,319166569.80665,20097951.6228109,23049353.9363697,42612753.2737418,65462243.8022976,92460923.3514565,117442162.452861,158103703.408368,2003
"9",77884550.7063007,12133526.0252822,358894054.234061,18430661.7454201,23010408.0532126,44617206.6917968,69735550.8963887,102111431.587825,132250224.235585,171765906.857758,2004
"10",73013972.9669561,10066948.3049944,306220472.45666,18689386.5433612,21344740.4666963,42338372.6901554,64394584.0321702,96890882.8122407,131527260.52527,167842625.670341,2005
"11",91167956.336877,12140063.7242364,425236949.396464,20291924.2332748,25043331.1245368,50742566.1775821,77630030.1863228,122772354.731478,164631245.000535,219500680.216487,2006
"12",49902288.6989971,5554979.05701837,189496440.235064,11080129.8735704,13262695.3091978,27609061.8346041,42696258.7441786,67244429.8452016,94439604.3773198,122222842.059226,2007
"13",40373322.5821767,3839828.19133103,136403654.999418,8684952.0197872,10216857.4083056,20506816.8512767,34697032.810493,53851895.8220306,76912760.6255516,103447945.97163,2008
"14",35004730.4943462,3566227.90062236,112640442.887848,6725307.82704291,8403792.1071739,18710221.5290791,30015740.743024,45710638.7280219,68347488.7488858,87297150.1017832,2009
"15",21006599.3006266,2343413.55920473,85320157.4891879,4060902.7598519,5024846.85177298,11077807.2638804,17332192.0040221,28156345.7553199,40266788.7233314,51529919.0714636,2010
"16",11539898.0547672,782974.831919137,52354330.6620889,2062037.60581359,2684759.55336502,5705770.93528502,9487706.84026987,15131726.3647946,22787261.9879207,29081144.5740014,2011
"17",11373238.7864994,762158.678041792,46947041.7045155,1950385.99538925,2567519.39372005,5311648.56170015,9316619.52702122,14782602.5959628,23880910.9699182,30816678.9718034,2012
"18",4899402.17831294,394819.530598842,20808140.4200014,824053.248415649,969652.214231515,2274864.10589458,4194239.19076088,6275228.52929254,9769391.74118006,13825156.6093427,2013
"19",2129593.89448542,137822.412748557,11352372.9175101,353615.8171505,442731.112866501,985240.182799296,1821068.94865395,2753708.17728884,4057989.92900157,6523030.8257628,2014
