"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","year"
"1",4204720.51642185,582012.675783531,12100359.051043,1227340.39275944,1593126.76314595,2706008.61653175,3667292.30564857,5211996.91645751,7001276.65432493,9520302.41672513,1996
"2",3193103.60346682,406150.834444888,12476671.071679,970855.816470093,1105023.53657044,1912481.80823054,2743160.55279021,4120522.11157471,5525983.01111375,8016248.84364068,1997
"3",4186074.11116905,836320.696525914,15229159.49252,1041373.04824927,1392184.98090709,2297210.76099037,3527707.838394,5499972.12894867,7496411.02484022,10279261.2401682,1998
"4",10300660.7619107,1766483.65147393,34576467.9849876,2598504.4498746,3372899.55650976,5661410.20847498,8752520.25842898,13300152.2062046,19128789.5373489,24626141.1507946,1999
"5",21138333.6383779,3463855.92753377,80876294.6557522,5024166.97481459,6330110.65415375,11494727.8847849,18406173.5167974,27366639.3985588,38583250.1013355,50961849.2386312,2000
"6",29486593.6006422,5066125.47996915,122485946.342711,6897760.08381727,8488412.56103764,15170921.1354815,25137897.5081603,38265888.9989894,55805730.6739219,73371414.3435021,2001
"7",52386309.3552821,8144675.49212296,226221380.552779,13060415.1891436,15097106.3341303,27756429.6827285,44246129.4867325,69271091.9947731,99475290.2657316,125914611.033477,2002
"8",99756714.391597,9915564.69148148,451585924.670506,23269140.6643796,28695560.8658127,52534896.7102808,84128520.1978381,130132989.701547,177641271.201294,249588721.933341,2003
"9",82153049.8653542,9329709.26993604,390349976.145825,17045089.2805643,22254619.0144933,43041036.756274,66366530.5569016,106867678.480641,150237041.692991,215666526.181879,2004
"10",79096600.053333,8763535.24213553,540394770.852824,16327225.1361667,21212773.568616,40195201.1899159,67380615.4683741,101412105.243924,154054141.337326,219846205.929332,2005
"11",88705838.7941596,10453734.3879993,510378393.342309,17055434.4387028,22853201.9556213,45508165.1293864,73446011.2366054,115056228.963881,167345617.937329,246595070.229469,2006
"12",42372887.7194839,4894711.27382626,241582114.221728,7331957.4953881,9893211.16124981,21500965.3672123,33851945.2817562,54912263.2310675,74611215.0041973,124405358.841014,2007
"13",35858698.9708847,4337907.15504992,256158741.581922,5454698.99587524,7465766.2280596,17537811.3276697,28784611.3305923,45600255.3291834,67770516.6498174,107565687.292341,2008
"14",31536559.5468234,3239710.84274404,174557673.634987,5418765.13860639,6347778.82268113,14847216.1030097,24354258.8556089,39505885.003163,60921586.3136464,96969208.5883748,2009
"15",19286584.1618021,1525151.45779266,119940946.517794,3403516.57423751,4044250.45120611,9079537.60445974,14749487.7528924,24176622.8938773,36385265.3476239,65979056.2871497,2010
"16",10188170.9948489,699705.747750392,67201413.4988639,1656880.73932584,2050152.94029005,4798935.60535156,7779639.56728323,12696621.8447784,20712119.7495952,30319621.7602946,2011
"17",11670599.4016841,700513.952174218,72746420.3659163,1952040.72810466,2379639.05490986,5051815.80872477,9069198.37107343,15474419.8788578,22664586.4788366,35986373.7890459,2012
"18",4933219.02658093,378248.527385168,27740878.6335049,731505.091659538,930308.291215138,2158238.80068141,3853136.24809768,6299127.22765497,9459655.27847213,14731567.9554937,2013
"19",2211087.67783508,135644.446979391,13968098.5484919,311007.256475842,418840.261046566,944545.240359651,1729722.52118371,2782277.96507346,4473198.86416679,6646667.033806,2014
