"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","year"
"1",4777228.08674759,781334.06660822,14935714.0076029,1305391.20479347,1740691.19679137,3178894.26418249,4467696.6983859,6023503.65107106,7486727.91358776,9701334.11801551,1996
"2",3602776.68182409,572899.155791038,10659056.2568941,946373.600649172,1269922.52602406,2356459.726983,3354819.92994919,4574183.55022121,5931593.44884069,7596368.44059552,1997
"3",4324477.50039652,622465.311247928,14506384.5652163,1070992.30459866,1296955.331436,2750031.3039859,4095250.59892753,5533369.12062899,7163171.10823583,9290310.21107472,1998
"4",9998473.69063483,1377264.12323086,30782333.8468465,2321565.99772327,2926784.14724138,6192476.93630347,9287048.76813645,12919989.3947804,16648116.3805703,22424829.4425982,1999
"5",21650725.8276382,2837140.02478068,72072548.7124443,4614072.07062204,6015404.79202801,13342525.6741582,19944502.6082318,27609254.8936226,37760895.9323459,48251213.1113149,2000
"6",32437108.3083805,3671802.35125628,128139927.804559,6974064.71638668,9453846.16993207,19191489.5511286,28955627.3403226,41133330.2807401,55381332.5733615,78306982.7294798,2001
"7",53880695.8572769,6120672.9452644,224969292.430786,10695082.3469998,15202007.3338521,31259745.9684515,45854049.0723888,70906735.825257,96769821.7917712,130313015.685892,2002
"8",107041764.654294,14231689.8785465,474089984.407488,21554547.3063605,31177596.4294237,60757938.1953,91962177.8169176,136136316.921895,194190013.734976,253378912.205746,2003
"9",94281228.2942039,11975255.4742413,523790244.68416,20311783.1630607,24501086.3456234,52770401.4649372,79746558.6216404,117155191.377025,171755846.260817,240523645.796292,2004
"10",93111304.3544529,9050560.04718696,524360866.243706,19913603.1065972,24476305.8051712,51346157.4592003,78999073.9043699,120309036.431014,174728111.492227,227517700.399315,2005
"11",96632057.2034178,11876105.0339392,625324685.279347,20268908.3532164,23358878.1247123,51965538.448157,82129185.3987896,120934981.389429,185490890.992776,245304253.093812,2006
"12",43632593.7174397,4094401.14258033,286120841.055496,8053366.75268992,10760989.069173,23391689.7293273,36016442.6355866,54678285.1668556,79092061.8490359,119016455.695038,2007
"13",36179855.5723102,3233545.15699245,289046412.027434,6019245.30524293,8800359.67354811,17965209.890561,28903701.8128894,46019045.1923131,66598950.5064343,107808640.754247,2008
"14",29718692.4492813,2510142.46692399,275065474.048915,4949145.76519544,6579735.48738022,14640063.0907687,23178938.729006,37191366.0986116,53116874.6905273,84271477.9623051,2009
"15",20689219.6309733,1901858.57208645,251151524.1406,3239331.00416148,4162798.06141364,9999806.25487579,16165906.1769839,25383091.2679306,40357939.162213,59498296.7969122,2010
"16",11529173.3038199,875622.14605587,140272002.407444,1639136.12316886,2239452.19359791,5540117.46975309,8990277.63036465,14421611.3678686,22275415.7357682,34150340.6372572,2011
"17",11210680.1702828,658742.183540975,100177544.29193,1494278.47768528,2095099.87057959,5293826.6981223,8774079.00373246,13614373.351773,22030327.7846968,34035932.9307569,2012
"18",4815442.10735646,299893.019026767,54000868.8703684,630055.090199508,914586.608467509,2270095.78810665,3580094.19213863,5941960.17217155,9573907.46595251,14159046.2777285,2013
"19",1945072.08195224,105922.735255621,23834866.2600247,250214.332317646,329978.890683797,830395.929555694,1427890.9978415,2427918.15217642,3775161.34181229,5980774.2735256,2014
