"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","year"
"1",6701022.60396907,844379.296874596,20126836.8235027,2166078.69723328,2468402.94220567,4248882.83052821,6028845.62001683,8598050.75148527,11303238.0011676,15247749.0350123,1996
"2",5341808.00307798,558095.011482646,17151595.9976284,1569567.52154407,1839706.56246273,3117317.89569397,4800109.45287856,6949763.05976796,9147786.40907073,12610792.9443331,1997
"3",6596097.65093563,647392.824901579,20744183.8376067,1650787.76175827,1940614.38282414,3610044.65728036,5790411.30637738,8435260.28410084,12642706.294649,16313236.7442243,1998
"4",14875634.5147862,1381050.11106562,46983662.5597361,3625318.10350705,4247144.61159776,8067232.7361004,12840108.6921276,19149190.4192185,28236067.9327916,37997853.770437,1999
"5",30295430.5637538,2035109.07989457,105285425.80163,7156462.78283039,8744465.96189478,15483402.3312621,26059856.5415405,37389113.8622228,58889015.5482419,86560792.9017769,2000
"6",43406025.9005936,3609877.77541811,149995827.652568,9483075.62093655,11498817.3787553,21154070.4820947,36473077.176385,55976283.0158017,85219664.2967209,116031511.897011,2001
"7",67429301.0679602,6337278.69344407,266304139.847219,14979611.889604,17056182.3669052,33843325.095216,56278903.523994,86121048.8168275,134491097.726884,194734809.789799,2002
"8",124440250.552667,9371613.48443044,526678051.705088,26849312.1192041,30143278.9953603,58701429.9895502,100319184.610853,158989324.215314,243134737.997647,342658176.754613,2003
"9",105297926.582665,6285342.45884471,461706239.257859,22196912.4781431,26154041.7465239,49540710.366079,82622615.0364077,138963125.05589,209482783.347456,294106318.709483,2004
"10",90013373.1621115,3663943.89746415,369592060.048545,16983714.6252805,21406768.2412134,40690577.6854558,72154783.8500371,118545072.920891,175637542.691983,269284164.037316,2005
"11",96655906.2646669,3189643.89540116,465413862.62683,17839347.7528128,22942658.6033182,44009580.5678421,75329207.6500167,127665528.07956,188570258.338339,297911065.271594,2006
"12",43625640.1557714,1879421.87060642,231876814.935503,7599014.72980336,9832612.29409541,19489913.9515783,33382937.3069051,59019843.3537222,84793499.9220999,143762523.236113,2007
"13",34656931.7392811,1428746.33972634,160182397.34196,5797878.12121038,6863912.81224581,14540463.9613737,26999322.3788283,46248198.2168711,67720737.4180752,110943375.709212,2008
"14",27883991.3163228,1001921.2191714,146433698.306505,4218842.06441025,4971855.23269619,11451617.2777142,21770746.0621784,35900557.0697911,53604357.5012018,100197872.711732,2009
"15",17543358.7418444,734726.637953885,104202015.524493,2492809.98563856,3008724.87859924,7192590.86662521,12911930.0765547,23218077.1209261,34664452.2447994,66261791.779316,2010
"16",9517542.71882123,354889.696597183,80462582.5263535,1256507.47882023,1583818.18275227,3743188.80632334,7235873.92674113,12277161.1323306,18816637.6368051,33490380.935894,2011
"17",8939943.81553292,344893.172794557,64475937.8401964,1128436.34480288,1479485.10303986,3680642.87930926,6727196.52885751,11471192.6813872,17772810.4264663,33870204.4470883,2012
"18",4002080.43927958,127091.519402109,26799257.4315396,467086.485264508,589806.792835866,1574861.74586361,2823310.04398804,5043485.22602462,8066300.06627183,14516904.6737607,2013
"19",1647770.86868049,59973.359112703,10568291.7682944,177543.781989671,239915.395052822,627980.988420562,1186594.19798475,2045980.3616799,3317243.94538392,6833328.11880352,2014
