"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","year"
"1",5643321.6330372,982270.789899952,19581629.3662104,1433597.39399696,1864778.7861254,3650625.48178889,5336314.69325349,7196998.55159505,8867561.07289612,11559179.976017,1996
"2",4543096.0040413,741563.978161894,16551177.2848439,1093003.34504865,1334186.36114474,2892507.59650637,3986117.55553869,5897497.75337361,7773981.01989298,10260810.161336,1997
"3",6423673.40439547,961386.967827505,26128025.6154659,1540182.96466608,2069875.3063882,3647828.78632384,5583050.80341935,8173072.97174817,10992960.8234603,16161326.1260134,1998
"4",14699105.6344121,2038698.9816679,61661229.3714906,3830622.96030852,4376158.74797639,8155039.58390874,12962425.3087606,18604305.7215796,26134683.8819251,36952577.3527278,1999
"5",29350908.5020011,3969698.04646531,137805875.764522,7165652.99876824,7877255.82661625,15746029.0708507,25426740.6062766,37160650.2819013,51274767.8649568,76328243.5587033,2000
"6",44958880.711404,6628916.3968733,228209526.045957,10356541.608536,12185504.1737632,23720186.1732502,37507298.8263601,55314172.2519596,81894118.0154863,119543054.903933,2001
"7",71962229.1498099,6106514.50025734,376928189.196674,14065021.6529318,18154420.6772036,37198868.7559848,57271870.5336668,91336475.3606507,137740175.956067,208500423.861221,2002
"8",130081043.200323,14330576.6935488,648171075.054796,26769772.5488372,32291983.1620185,64901454.7645021,106176284.72763,164688269.922614,246789081.987087,390773920.48354,2003
"9",110685211.48754,12551699.4740257,494134197.960079,20961358.1734256,24824713.1718283,52251143.8373478,86997100.2961295,142702090.280927,219818731.546178,330582284.807438,2004
"10",96327132.3768565,8055658.90988055,486885535.138764,15995769.6908267,20538551.0610995,45868288.7498722,74934856.3885428,119627992.351512,185401052.337194,308788687.511328,2005
"11",103904565.116873,7617927.621014,444018917.027795,16995866.5066251,21188209.5759178,50271449.9024628,83953055.4939034,136487145.222471,208893836.933624,327539661.046341,2006
"12",46752282.8122041,3724529.31990435,216805105.667496,7495558.55135817,9862845.41467187,21686256.3203562,36960167.0456202,60619721.5205287,93910557.7101468,151933344.575945,2007
"13",37381840.3531575,2502455.73810696,206670256.795777,5516814.17913693,7508295.6514475,17141535.123496,28391673.6321184,45982984.5479877,80836910.827881,126435335.026259,2008
"14",32722827.135006,2514928.5458868,142409647.55058,4462226.48330547,5622673.41718279,14264273.1350212,24676492.2010517,41438403.9731964,69118280.5401354,112999329.602854,2009
"15",20671529.2929191,1317901.73669154,102140149.383733,2803460.97724208,3869791.88346797,8395875.00626011,15314452.5679116,26747598.342087,43088745.7093853,73260995.8002247,2010
"16",11278612.9086728,610988.621089795,65965143.8734173,1521307.03720556,1939809.42337006,4517601.55379182,7996728.00579827,14433896.8574651,23064509.8289346,42331578.5799932,2011
"17",10975559.4202411,699422.75102493,63298795.7682535,1399646.21553855,1872718.00892335,4151562.80455686,7942750.20694868,14738747.3555603,21714993.6612318,40507792.1698516,2012
"18",4412533.16853585,249759.232127054,28847776.2562219,548295.062031971,743776.768405399,1703854.27033325,3050487.5446007,5845896.79672925,8669174.94337071,18045617.103038,2013
"19",1763809.66109751,92382.041987342,10108950.0658415,208457.27093257,264852.331896872,671334.607529011,1266221.2447365,2246908.77495024,3675288.97354368,7581954.46061772,2014
