"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","year"
"1",6733960.28350598,1043192.29047502,20753453.534969,1998746.04172522,2267718.57371955,4362119.79017632,6459563.03639129,8546314.48012097,10904556.9838054,13513573.9275895,1996
"2",5417350.53633758,470019.75271294,19074548.4103486,1327396.08851581,1672988.08519361,3374731.47218269,5090366.92291942,6824582.99523574,9048324.26860626,11810772.5131277,1997
"3",6552346.65620395,537025.842305768,20616564.3169004,1435564.28760411,1850084.34959199,3999252.02335881,6055476.45932424,8651689.15978189,11105577.1346368,15445835.5168572,1998
"4",14635251.8480817,1280072.62585594,49316737.8274897,2959765.81975367,4069632.66366502,8751340.0258061,13522946.5818333,18459716.1175825,25015386.8713547,35430089.9432478,1999
"5",29507158.7061019,2970244.26085363,99322737.883238,5803048.75514724,7876062.91469343,17045713.926325,26655746.4682764,38059509.7102807,50871288.866965,71549390.7991068,2000
"6",43420186.3220533,4723500.14114249,143584315.103999,8293928.52337556,12219138.3660296,23738831.1881293,39340211.8535489,55630873.8757605,77384808.2750379,109846122.228861,2001
"7",69169562.5234403,6019095.23026412,231927819.313432,13992907.0946712,18036802.5908085,37567387.4827389,60447265.6055291,91033147.7723607,124087804.127749,183370045.814831,2002
"8",125982131.052985,11568774.436168,480063177.078411,24378931.9843165,33797976.9439485,69885160.5583701,110380041.467612,164133371.65826,221564615.395737,318197569.141132,2003
"9",111297643.055687,7131462.56570712,534712253.041932,21676067.6969514,26385285.5466106,58755553.1840687,94067982.961946,144424178.666767,206122914.373669,309664196.018665,2004
"10",96328888.0831047,5949902.10628947,554590790.899896,17181877.0877859,21929190.4969733,50062374.8814339,82762368.6096241,121679738.692657,180625524.917604,243449331.40706,2005
"11",106133392.327617,6229381.90497343,597795997.518723,18227529.3592202,22962086.5912781,50361901.6114125,90507325.4835131,136987078.288431,200052673.955126,292459953.032605,2006
"12",40389383.6791765,2024608.33377325,228109629.911748,6515867.68044071,7842442.25281935,19651959.7885175,34627642.1771044,51364725.493019,73887187.1415949,115361156.052981,2007
"13",32941313.645256,1006006.2440163,224412828.221991,4665601.23062242,6549764.40946471,15208908.6936867,26831987.3475274,43895064.5537703,60073136.3111811,95318160.1016693,2008
"14",25646575.84899,850451.412875632,154866108.439311,3775900.75776033,5100532.83442013,11540896.3615506,21249822.3190943,33535254.4223817,48955733.873694,72323533.29102,2009
"15",15938789.0974999,562226.958226113,105869788.423172,2422619.60265812,2836530.29589446,7068224.275615,13201834.8575153,20723256.240882,29450126.1749612,47052909.029115,2010
"16",8524646.14341351,217596.614048823,49080791.2518464,1167975.2208248,1503040.59224471,3887171.10814186,6874836.54876959,11140597.574748,15705609.8267157,26275547.9221212,2011
"17",8037086.77343044,169404.286626463,46565496.8603729,1015922.45452772,1396385.70607165,3566892.0209964,6354615.83567628,10471315.9896543,15366543.286009,24838796.4327982,2012
"18",3590434.02702766,95851.0366358193,22332059.5536257,477023.752813421,600257.753675905,1581981.09850696,2798581.15508272,4753088.93529762,6479832.33816789,12495220.3681449,2013
"19",1441524.26018829,55783.0317782247,9849462.66955046,180453.751241324,234526.254239419,621750.255866562,1165000.97407207,1863813.13720032,2721824.51082998,5118251.49803453,2014
