mean,min,max,q0.025,q0.05,q0.25,q0.5,q0.75,q0.9,q0.975,year,alt
4777228.08674759,781334.06660822,14935714.0076029,1305391.20479347,1740691.19679137,3178894.26418249,4467696.6983859,6023503.65107106,7486727.91358776,9701334.11801551,1996,StatusQuo
3602776.68182409,572899.155791038,10659056.2568941,946373.600649172,1269922.52602406,2356459.726983,3354819.92994919,4574183.55022121,5931593.44884069,7596368.44059552,1997,StatusQuo
4324477.50039652,622465.311247928,14506384.5652163,1070992.30459866,1296955.331436,2750031.3039859,4095250.59892753,5533369.12062899,7163171.10823583,9290310.21107472,1998,StatusQuo
9998473.69063483,1377264.12323086,30782333.8468465,2321565.99772327,2926784.14724138,6192476.93630347,9287048.76813645,12919989.3947804,16648116.3805703,22424829.4425982,1999,StatusQuo
21650725.8276382,2837140.02478068,72072548.7124443,4614072.07062204,6015404.79202801,13342525.6741582,19944502.6082318,27609254.8936226,37760895.9323459,48251213.1113149,2000,StatusQuo
32437108.3083805,3671802.35125628,128139927.804559,6974064.71638668,9453846.16993207,19191489.5511286,28955627.3403226,41133330.2807401,55381332.5733615,78306982.7294798,2001,StatusQuo
53880695.8572769,6120672.9452644,224969292.430786,10695082.3469998,15202007.3338521,31259745.9684515,45854049.0723888,70906735.825257,96769821.7917712,130313015.685892,2002,StatusQuo
107041764.654294,14231689.8785465,474089984.407488,21554547.3063605,31177596.4294237,60757938.1953,91962177.8169176,136136316.921895,194190013.734976,253378912.205746,2003,StatusQuo
94281228.2942039,11975255.4742413,523790244.68416,20311783.1630607,24501086.3456234,52770401.4649372,79746558.6216404,117155191.377025,171755846.260817,240523645.796292,2004,StatusQuo
93111304.3544529,9050560.04718696,524360866.243706,19913603.1065972,24476305.8051712,51346157.4592003,78999073.9043699,120309036.431014,174728111.492227,227517700.399315,2005,StatusQuo
96632057.2034178,11876105.0339392,625324685.279347,20268908.3532164,23358878.1247123,51965538.448157,82129185.3987896,120934981.389429,185490890.992776,245304253.093812,2006,StatusQuo
43632593.7174397,4094401.14258033,286120841.055496,8053366.75268992,10760989.069173,23391689.7293273,36016442.6355866,54678285.1668556,79092061.8490359,119016455.695038,2007,StatusQuo
36179855.5723102,3233545.15699245,289046412.027434,6019245.30524293,8800359.67354811,17965209.890561,28903701.8128894,46019045.1923131,66598950.5064343,107808640.754247,2008,StatusQuo
29718692.4492813,2510142.46692399,275065474.048915,4949145.76519544,6579735.48738022,14640063.0907687,23178938.729006,37191366.0986116,53116874.6905273,84271477.9623051,2009,StatusQuo
20689219.6309733,1901858.57208645,251151524.1406,3239331.00416148,4162798.06141364,9999806.25487579,16165906.1769839,25383091.2679306,40357939.162213,59498296.7969122,2010,StatusQuo
11529173.3038199,875622.14605587,140272002.407444,1639136.12316886,2239452.19359791,5540117.46975309,8990277.63036465,14421611.3678686,22275415.7357682,34150340.6372572,2011,StatusQuo
11210680.1702828,658742.183540975,100177544.29193,1494278.47768528,2095099.87057959,5293826.6981223,8774079.00373246,13614373.351773,22030327.7846968,34035932.9307569,2012,StatusQuo
4815442.10735646,299893.019026767,54000868.8703684,630055.090199508,914586.608467509,2270095.78810665,3580094.19213863,5941960.17217155,9573907.46595251,14159046.2777285,2013,StatusQuo
1945072.08195224,105922.735255621,23834866.2600247,250214.332317646,329978.890683797,830395.929555694,1427890.9978415,2427918.15217642,3775161.34181229,5980774.2735256,2014,StatusQuo
7401923.69415723,976919.65873016,21831655.6837422,2000538.34115024,2683427.62302236,4707488.99716407,6960569.72063318,9681530.68881133,12194673.6630724,14299005.1689469,1996,June
5409943.37216404,634531.192883014,15463566.653961,1490427.77867816,1763468.82326946,3353076.62240097,4987527.16751266,6824575.08416235,9161306.39370381,11214018.0521351,1997,June
6695371.6407063,742918.080866179,21897935.9571184,1510832.60522146,1863886.7570244,4075979.65587793,5985320.42635833,8276498.36411976,11795319.741012,16027440.9192785,1998,June
15340732.9649981,1686987.35000417,47744069.3875942,3676685.19349528,4902245.149488,9625086.20262778,13780225.9449422,19144176.7713238,26919859.7521623,36774956.0558365,1999,June
30932137.7397318,3350373.55424395,108498141.571936,7593733.08271711,9402818.41023657,18683568.8237935,27905168.2729228,37852746.2138907,56270278.3259056,75009491.9670334,2000,June
42652696.9467018,3621138.67697918,151811590.01181,10222797.1009844,12791571.2293486,24426232.7493786,37498557.9291073,53651393.7327885,78280754.7813964,107734328.800471,2001,June
68780710.0990428,4612044.81894498,298345227.734563,14206539.729851,18171884.5968166,37528314.9632137,58776754.3794342,88542589.7276224,123497571.29154,174614157.462965,2002,June
124709765.242146,7129727.35651332,512718102.527263,23597567.6845418,36926786.4867327,70031125.4526418,102371832.712255,162436652.164324,222210802.360554,319349266.843434,2003,June
99542492.7152749,6617183.27490486,409598840.853793,19791662.635615,27996833.0132423,55000957.9585452,81766182.3463073,129337463.48079,176577866.984007,257642513.061492,2004,June
85611841.8254154,6923213.2921592,390817622.253204,17887986.0727549,24089585.4910892,46592933.9407441,72553217.3996203,110563551.8736,150122065.195465,227977839.151447,2005,June
92930049.8632312,8274944.97575419,386730403.668595,18902283.9229792,24905110.34649,50589077.2853227,76248413.1241767,120325405.056193,167561753.203337,249949591.940419,2006,June
43983978.6391478,3981730.77219296,245142995.256978,8708631.34955371,11597475.4221344,23685450.8573439,36119782.4211137,56322320.7703033,84752451.131239,116349772.004453,2007,June
35723628.119583,2669044.04665064,209348192.670846,6310698.24953347,8913572.27359854,18478778.8456958,29293866.9927827,46705905.2874315,68133371.7399714,98516499.7492998,2008,June
29915140.0561101,1992149.81537783,181573668.880359,4860971.68696332,7388838.8140239,14290264.9013851,23497432.7176064,38975847.2088571,57540908.3654612,86360795.7604075,2009,June
16390712.0586655,1438340.21579296,113293167.785186,2602085.91142276,3712325.65617062,7663908.04898523,12590672.7438217,22216912.8419299,31010868.4287534,46821333.6418549,2010,June
8983441.04310827,771391.313242938,60632107.9953396,1416799.39172349,1888283.78148025,4046849.00180635,7067824.14924706,11752470.2960969,17330029.1872673,26637274.5700456,2011,June
8688713.11378602,629971.626474934,61597795.6548257,1377503.21365876,1809161.59329671,3776483.34052932,6785111.8442164,11283863.2053037,16417300.2678075,26364462.5113972,2012,June
3540273.8233357,260806.940463867,31050127.507576,490624.964971956,750487.322464559,1533648.64792005,2581354.65314633,4521112.59516346,7095014.21695308,11467993.1022022,2013,June
1444034.00044734,80728.314724896,10952899.4462469,170977.723030325,281612.684136609,615542.385965923,1049672.94989062,1807716.39262587,2969199.20224126,4906053.69835527,2014,June
6521713.98040581,1234133.84153965,18468216.6274177,2020759.13513285,2468901.28501777,4326921.99811458,5860839.17599776,8226492.44702251,10493622.5666114,13580570.379349,1996,MaxWater
4903141.50941737,715921.475500177,15291562.725233,1380551.82626828,1779058.13307343,2955126.15256967,4450013.8563646,6336362.97363696,8226493.50957934,11220612.5119039,1997,MaxWater
6114379.39864805,1094986.21293076,19970923.4833792,1538014.28368006,1952340.37087914,3684942.34725094,5520358.06490121,7798889.61320988,10853995.6314314,14027200.072988,1998,MaxWater
14257073.4581969,2528809.94151862,47796073.1920735,3411001.347157,4550916.81592984,8247912.32995187,12750783.3837359,17958249.4508493,25618472.8998594,33611151.9368283,1999,MaxWater
27991181.6619412,3825592.82931682,104945142.746735,6799075.07250207,8786940.13016032,15653040.7388818,24756259.8945786,34798489.3670811,50805830.4380144,69980570.4543636,2000,MaxWater
40812186.083202,6151354.21354104,171739639.483186,9439278.08004573,12093166.4051519,22973469.89419,34839140.8908841,51251233.9390033,74882405.7755238,107084653.160079,2001,MaxWater
66986173.749476,9949809.80445171,294423317.373979,14744668.8637246,18160909.3364264,34644104.7070417,57180095.4204294,85532099.5149353,121299680.075536,176646224.609403,2002,MaxWater
