"Date","OUTFLOW","OMR","MTZ_EC_prev","X2_prev","X2_current","MTZ_EC_current"
1921-11-30,4500,-6677.63727646991,21380.176,84.24794,89.25388,22991.162
1921-12-31,12704.7521415887,-5661.61330657735,22991.162,89.25388,82.33779,13665.913
1922-01-31,13580.1188557698,-4745,13665.913,82.33779,75.05654,13993.803
1922-02-28,41942.3880931883,-3625.89285714286,13993.803,75.05654,59.61508,4602.872
1922-03-31,32303.4921231793,-3500,4602.872,59.61508,59.819145,5153.5146
1922-04-30,21193.8842967849,-3995,5153.5146,59.819145,64.28799,8399.049
1922-05-31,46911.033798243,-4190,8399.049,64.28799,57.78313,3901.5356
1922-06-30,29000.777059935,-4925,3901.5356,57.78313,60.908363,6358.2397
1922-07-31,8000,-8861.73731844447,6358.2397,60.908363,77.876274,18030.102
1922-08-31,4000,-11120.6040909813,18030.102,77.876274,86.11619,22869.178
1922-09-30,3445.98386383623,-7809.51382563334,22869.178,86.11619,89.12731,25173.72
1922-10-31,4791.39169027196,-8619.50305797978,25173.72,89.12731,90.26052,23038.354
1922-11-30,7235.86234643311,-8068.28637881947,23038.354,90.26052,88.55272,20471.418
1922-12-31,30951.7100942197,-5290.32258064516,20471.418,88.55272,65.88727,6413.0166
1923-01-31,28285.1724079273,-4343.38709677419,6413.0166,65.88727,61.75765,6845.536
1923-02-28,18370.9832307464,-4142.85714285714,6845.536,61.75765,65.68669,10418.014
1923-03-31,13485.7391965401,-3500,10418.014,65.68669,70.99333,12426.812
1923-04-30,22142.0584084021,-3184.65474197319,12426.812,70.99333,66.67962,7858.4644
1923-05-31,13911.8164804495,-3875,7858.4644,66.67962,70.52938,12331.685
1923-06-30,7752.70187517592,-4475,12331.685,70.52938,79.120804,18827.832
1923-07-31,6786.6158923264,-9663.89693196171,18827.832,79.120804,83.979576,20669.723
1923-08-31,4000,-9510.73378221945,20669.723,83.979576,87.73682,23244.12
1923-09-30,4835.83764918312,-8185.31191473823,23244.12,87.73682,88.50844,23893.36
1923-10-31,4095.78970845748,-9077.88789163935,23893.36,88.50844,89.004524,23839.78
1923-11-30,5014.36258247257,-5787.08229827357,23839.78,89.004524,91.005005,23598.988
1923-12-31,6889.9169286982,-2868.97895850728,23598.988,91.005005,89.87767,22301.16
1924-01-31,8822.77611105628,-4775,22301.16,89.87767,86.68172,20300.127
1924-02-29,11991.6910831028,-4625,20300.127,86.68172,80.33494,16042.818
