"Date","OUTFLOW","OMR","MTZ_EC_prev","X2_prev","X2_current","MTZ_EC_current"
1921-11-30,4564.88784348822,-8560.22573348467,11741.752,74.007614,81.784584,21184.678
1921-12-31,8621.87717725409,-9375.67207707308,21184.678,81.784584,84.00814,18176.846
1922-01-31,13580.1162493368,-4745,18176.846,84.00814,76.39916,13870.438
1922-02-28,41283.0971840207,-3625.89285714286,13870.438,76.39916,59.867916,4657.0303
1922-03-31,30631.6826109218,-3500,4657.0303,59.867916,60.30916,5472.7935
1922-04-30,21204.1277151295,-3995,5472.7935,60.30916,64.34692,8414.548
1922-05-31,44875.7927155604,-4190,8414.548,64.34692,58.169086,4048.961
1922-06-30,28929.5190378379,-4925,4048.961,58.169086,60.989098,6372.4126
1922-07-31,20400,-7911.26364101879,6372.4126,60.989098,66.21148,10070.164
1922-08-31,20400,-6491.53207539087,10070.164,66.21148,67.176315,9112.391
1922-09-30,9687.5,-4573.13364632446,9112.391,67.176315,74.0747,15547.507
1922-10-31,14687.5,-3535.63724280663,15547.507,74.0747,74.0113,14742.242
1922-11-30,7515.40982428394,-8541.71210323729,14742.242,74.0113,78.89389,18801.455
1922-12-31,26263.6186104915,-5290.32258064516,18801.455,78.89389,66.95246,7613.3228
1923-01-31,28178.0433354617,-4343.38709677419,7613.3228,66.95246,62.151417,6640.6553
1923-02-28,18194.999858138,-4142.85714285714,6640.6553,62.151417,65.73812,10341.321
1923-03-31,12872.9371370653,-3500,10341.321,65.73812,71.50646,12862.436
1923-04-30,21615.5911055458,-3184.62553606874,12862.436,71.50646,67.20199,8098.2017
1923-05-31,12812.6090898176,-3875,8098.2017,67.20199,71.667946,13082.039
1923-06-30,7773.3335,-4475,13082.039,71.667946,79.69438,18908.8
1923-07-31,6500,-8000.54264926072,18908.8,79.69438,84.30887,21045.387
1923-08-31,4000,-5217.23696123135,21045.387,84.30887,88.06803,23453.693
1923-09-30,3639.30608571275,-7538.5079794577,23453.693,88.06803,90.81457,25330.24
1923-10-31,4000,-4959.61505165093,25330.24,90.81457,92.1927,25273.428
1923-11-30,5341.02236937412,-4060.61081679825,25273.428,92.1927,91.923386,24834.08
1923-12-31,6400.90978909115,-2579.52083465244,24834.08,91.923386,89.76771,23190.48
1924-01-31,9214.81719580356,-4259.15517265495,23190.48,89.76771,86.14728,19668.541
1924-02-29,11773.3886229384,-4625,19668.541,86.14728,81.2794,16048.461
1924-03-31,7291.8772224698,-1092.91717473188,16048.461,81.2794,81.160675,19484.797
1924-04-30,4795.77448585476,-577.858112752635,19484.797,81.160675,86.870186,21863.156
1924-05-31,4000,-1654.37502203563,21863.156,86.870186,91.50627,22774.566
1924-06-30,4189.7567901618,-1358.73325155196,22774.566,91.50627,90.84681,24276.871
1924-07-31,3000,-1575.18247263081,24276.871,90.84681,93.499,25817.197
1924-08-31,3000,-1865.98878973094,25817.197,93.499,93.969376,26195.002
1924-09-30,3668.05555556667,-2331.09096471385,26195.002,93.969376,92.66368,25393.775
1924-10-31,3521.16118555635,-4900.39806097133,25393.775,92.66368,93.32181,26780.81
1924-11-30,5946.46509084171,-2663.19147458917,26780.81,93.32181,92.15449,25932.725
1924-12-31,8712.58674040154,-3549.1759079759,25932.725,92.15449,87.66356,21195.879
1925-01-31,8922.52139063717,-4625,21195.879,87.66356,84.39983,18664.193
1925-02-28,73586.330199621,-4035.71428571429,18664.193,84.39983,56.786144,2577.1616
1925-03-31,17903.3225984263,-3905,2577.1616,56.786144,64.30304,9171.321
1925-04-30,23232.1948774858,-2711.12169110522,9171.321,64.30304,64.74831,7207.7974
1925-05-31,15672.6748959252,-3037.54603445664,7207.7974,64.74831,68.55856,11515.587
1925-06-30,7625,-4400,11515.587,68.55856,78.456505,17700.658
1925-07-31,5000,-6383.2936725727,17700.658,78.456505,84.80146,22356.436
1925-08-31,3500,-4483.6248491068,22356.436,84.80146,88.26159,25471.682
1925-09-30,3676.63682585591,-7381.27386770236,25471.682,88.26159,91.31145,25219.525
1925-10-31,4000,-4296.06885212211,25219.525,91.31145,92.09618,25324.873
1925-11-30,5749.54279280174,-4714.10982659097,25324.873,92.09618,91.50203,23929.104
1925-12-31,6177.39090940966,-3035.3046617926,23929.104,91.50203,90.58732,22031.209
1926-01-31,14346.4079410162,-4055,22031.209,90.58732,81.02469,14815.506
1926-02-28,39080.0953131567,-3808.03571428571,14815.506,81.02469,60.90661,4422.602
1926-03-31,16145.161,-1550.97448769243,4422.602,60.90661,66.282005,10213.924
1926-04-30,20163.5630114119,-2339.39519481968,10213.924,66.282005,66.86408,8335.353
1926-05-31,9701.613,-2582.38011044925,8335.353,66.86408,75.15332,16317.305
1926-06-30,7100,-4400,16317.305,75.15332,82.25181,20212.889
1926-07-31,5000,-4689.01958584196,20212.889,82.25181,85.45442,22718.465
1926-08-31,3500,-4058.00049707366,22718.465,85.45442,89.3323,25205.05
1926-09-30,3000,-4765.46738363868,25205.05,89.3323,92.48265,26482.268
1926-10-31,4000,-4333.17850711937,26482.268,92.48265,92.79845,25842.338
1926-11-30,12072.8860052542,-8720.68273562183,25842.338,92.79845,84.48495,16404.07
1926-12-31,4878.68422134549,-5290.32258064516,16404.07,84.48495,84.88404,20345.012
1927-01-31,32817.14487435,-3875.96774193548,20345.012,84.88404,65.46177,5996.983
1927-02-28,135939.629615175,-4175,5996.983,65.46177,52.411655,2148.9077
1927-03-31,57372.8537727221,-3650,2148.9077,52.411655,55.037285,2914.4731
1927-04-30,47993.8273952928,-4015.13530643181,2914.4731,55.037285,56.322586,3312.9758
1927-05-31,25508.4346404991,-4028.14129666418,3312.9758,56.322586,62.227833,6840.5103
1927-06-30,20400,-4505,6840.5103,62.227833,65.34926,9764.564
1927-07-31,20400,-10960.269948305,9764.564,65.34926,66.02693,10285.6455
1927-08-31,20400,-9323.89954547551,10285.6455,66.02693,65.724724,9484.907
1927-09-30,9531.25,-5932.64812952388,9484.907,65.724724,74.000465,15161.431
1927-10-31,14375,-3416.35061969925,15161.431,74.000465,73.9673,14503.089
1927-11-30,5337.10445418053,-9521.02725240155,14503.089,73.9673,81.06005,21035.969
1927-12-31,4806.34459236484,-8908.90849699095,21035.969,81.06005,87.259995,23069.203
1928-01-31,16622.2682344171,-3645.16129032258,23069.203,87.259995,77.44274,11864.442
1928-02-29,19972.9796685169,-4040.51724137931,11864.442,77.44274,67.40727,8858.208
1928-03-31,84780.9519030309,-3500,8858.208,67.40727,54.376087,2481.6423
1928-04-30,21985.0336258324,-3156.61400225915,2481.6423,54.376087,62.773544,8241.219
1928-05-31,10649.193,-3362.55737826597,8241.219,62.773544,73.64702,14382.3
1928-06-30,20400,-2443.5879221047,14382.3,73.64702,69.13732,9607.874
1928-07-31,20400,-10200.9342226501,9607.874,69.13732,67.74094,9122.491
1928-08-31,20400,-5561.35042606229,9122.491,67.74094,67.12011,9903.61
1928-09-30,9375,-3895.18978847266,9903.61,67.12011,74.00405,15472.579
1928-10-31,14843.75,-2547.13053781868,15472.579,74.00405,73.99614,12323.562
1928-11-30,6061.02235466801,-8095.85648368418,12323.562,73.99614,80.358765,21804.168
1928-12-31,4525.73187230531,-6821.09132954606,21804.168,80.358765,87.0351,23694.074
1929-01-31,10177.6887120343,-2793.50886992112,23694.074,87.0351,84.10354,18349.053
1929-02-28,13801.6775545208,-4250,18349.053,84.10354,78.7194,13651.721
1929-03-31,8298.37468991799,-3593.09652615015,13651.721,78.7194,78.64999,17083.793
1929-04-30,7207.82183069683,-717.903842798516,17083.793,78.64999,82.44436,19233.666
1929-05-31,4076.16665025247,-2168.14312478212,19233.666,82.44436,87.494316,22214.6
1929-06-30,3000,-1145.12148866423,22214.6,87.494316,91.29563,25530.963
1929-07-31,3000,-1605.91381889819,25530.963,91.29563,93.82065,25795.807
1929-08-31,3000,-1459.60647397653,25795.807,93.82065,93.57449,26427.85
1929-09-30,3664.89431222854,-2498.4914284637,26427.85,93.57449,92.754265,26236.496
1929-10-31,3000,-2235.18463758787,26236.496,92.754265,93.81917,26519.943
1929-11-30,4871.47689399805,-510.171283870254,26519.943,93.81917,93.43098,24748.658
1929-12-31,9159.08566942788,-5290.32258064516,24748.658,93.43098,88.38824,19174.834
1930-01-31,17798.1744218051,-4262.09677419355,19174.834,88.38824,74.45756,12539.82
1930-02-28,14206.4586893722,-3982.14285714286,12539.82,74.45756,70.76018,13051.966
1930-03-31,27143.8272072266,-3905,13051.966,70.76018,63.80476,6087.171
1930-04-30,8050.21937633088,-1975.11431730656,6087.171,63.80476,74.42762,16276.323
1930-05-31,10107.3600045782,-1160.93300051283,16276.323,74.42762,80.2467,16845.537
1930-06-30,7110.28627957907,-4400,16845.537,80.2467,82.19193,20486.326
1930-07-31,5000,-4189.21333882107,20486.326,82.19193,85.90223,22688.744
1930-08-31,3500,-3622.43942123099,22688.744,85.90223,90.00596,25120.559
1930-09-30,3000,-5957.22986392719,25120.559,90.00596,92.430565,25943.957
1930-10-31,4000,-2193.86610703025,25943.957,92.430565,92.76132,25989.922
1930-11-30,5907.57182660896,-1710.11837580099,25989.922,92.76132,91.27154,23600.486
1930-12-31,4716.42393530199,-1304.94476802759,23600.486,91.27154,91.797714,22689.277
