"Date","OUTFLOW","OMR","BD_EC_prev","X2_prev","X2_current","BD_EC_current"
1921-11-30,4564.88784348822,-8560.22573348467,5729.148,74.007614,81.784584,6349.883
1921-12-31,8621.87717725409,-9375.67207707308,6349.883,81.784584,84.00814,9607.541
1922-01-31,13580.1162493368,-4745,9607.541,84.00814,76.39916,7112.181
1922-02-28,41283.4668636169,-3625.89285714286,7112.181,76.39916,59.867825,2689.297
1922-03-31,30631.671523802,-3500,2689.297,59.867825,60.30916,656.2273
1922-04-30,21199.0176465478,-3995,656.2273,60.30916,64.349205,1131.8633
1922-05-31,44875.9308056094,-4190,1131.8633,64.349205,58.16945,781.58136
1922-06-30,30400,-4925,781.58136,58.16945,60.53167,557.26575
1922-07-31,20400,-7911.2685611084,557.26575,60.53167,66.1108,380.34296
1922-08-31,10400,-7274.73969640391,380.34296,66.1108,76.74034,1189.2313
1922-09-30,14375,-4476.71324811723,1189.2313,76.74034,74.06516,3341.35
1922-10-31,12500,-3906.76509654869,3341.35,74.06516,73.90477,4548.9136
1922-11-30,7494.57093787784,-8541.71250184282,4548.9136,73.90477,80.13169,6258.8887
1922-12-31,26513.071417652,-5290.32258064516,6258.8887,80.13169,66.87454,4840.765
1923-01-31,28186.9103426135,-4343.38709677419,4840.765,66.87454,62.127537,1342.5582
1923-02-28,18200.9823756224,-4142.85714285714,1342.5582,62.127537,65.73435,1432.5565
1923-03-31,12877.5422104362,-3500,1432.5565,65.73435,71.49983,2804.305
1923-04-30,21619.3998224209,-3184.63784952958,2804.305,71.49983,67.19821,3022.593
1923-05-31,12946.7568396209,-3875,3022.593,67.19821,71.54235,2896.2598
1923-06-30,7773.3335,-4475,2896.2598,71.54235,79.621544,5076.117
1923-07-31,6727.66125972549,-9057.32433060942,5076.117,79.621544,84.08911,4100.6157
1923-08-31,4000,-6204.98928504784,4100.6157,84.08911,87.877914,5956.3896
1923-09-30,3689.45806324345,-7632.34822793022,5956.3896,87.877914,89.711334,12478.761
1923-10-31,4000,-4962.15313462412,12478.761,89.711334,91.31227,9688.517
1923-11-30,5534.43598029996,-4919.61160568138,9688.517,91.31227,91.212364,9744.89
1923-12-31,6014.89081040422,-3039.6015128056,9744.89,91.212364,89.67849,8394.646
1924-01-31,11031.9985053013,-2653.93113415638,8394.646,89.67849,84.56954,5318.747
1924-02-29,11826.0701247551,-4625,5318.747,84.56954,80.102135,2688.9048
1924-03-31,7293.79461397217,-1119.74063627035,2688.9048,80.102135,81.04234,5349.1187
1924-04-30,4604.64329066948,-577.216021553577,5349.1187,81.04234,87.044136,5655.6777
1924-05-31,4007.55702328998,-1654.26106041884,5655.6777,87.044136,91.65586,8831.638
1924-06-30,4336.05525280873,-1358.1563219193,8831.638,91.65586,90.75252,13331.527
1924-07-31,3000,-1574.9711989448,13331.527,90.75252,93.38799,15807.586
1924-08-31,3000,-1690.39952129893,15807.586,93.38799,93.958694,18025.215
1924-09-30,3668.05555556667,-2332.5998247942,18025.215,93.958694,92.657265,11438.406
1924-10-31,3525.69092334526,-4907.03186599716,11438.406,92.657265,93.31094,11296.448
1924-11-30,5949.26217785723,-2665.03685819999,11296.448,93.31094,92.14749,11221.139
1924-12-31,8714.88233117557,-3551.65078006063,11221.139,92.14749,87.65679,7676.904
1925-01-31,8929.4971429262,-4625,7676.904,87.65679,84.389,4446.923
1925-02-28,72634.2962476577,-4035.71428571429,4446.923,84.389,56.864716,766.1012
1925-03-31,17806.1297740604,-3905,766.1012,56.864716,64.36297,830.70264
1925-04-30,23238.7726651394,-2711.73256781547,830.70264,64.36297,64.76043,1567.6417
1925-05-31,15728.5070059023,-3041.90497090142,1567.6417,64.76043,68.51457,2247.287
1925-06-30,7625,-4400,2247.287,68.51457,78.43205,4663.2983
1925-07-31,5000,-6351.97286978975,4663.2983,78.43205,84.7999,9112.592
1925-08-31,3500,-4509.457429023,9112.592,84.7999,88.25521,13363.693
1925-09-30,3728.82394248383,-7338.64642044737,13363.693,88.25521,91.25581,9247.884
1925-10-31,4000,-4319.7599301876,9247.884,91.25581,92.04948,9550.345
1925-11-30,5741.57205400761,-4721.64333177131,9550.345,92.04948,91.49775,9278.535
1925-12-31,6157.88074986971,-3053.24687398588,9278.535,91.49775,90.6112,7698.3506
1926-01-31,14347.0284003294,-4055,7698.3506,90.6112,81.03998,3364.236
1926-02-28,39263.3391632964,-3808.03571428571,3364.236,81.03998,60.8604,1287.947
1926-03-31,16145.161,-1550.56287247494,1287.947,60.8604,66.2724,1202.2537
1926-04-30,20165.4907793396,-2339.77983763809,1202.2537,66.2724,66.863045,2051.719
1926-05-31,9701.613,-2582.51239172012,2051.719,66.863045,75.15264,3337.2937
1926-06-30,7100,-4400,3337.2937,75.15264,82.25207,6659.8564
1926-07-31,5000,-4538.76350601647,6659.8564,82.25207,85.45441,10646.781
1926-08-31,3500,-4025.20913286319,10646.781,85.45441,89.332214,13742.274
1926-09-30,3000,-4764.91222279915,13742.274,89.332214,92.48265,10460.838
1926-10-31,4000,-4384.3693391018,10460.838,92.48265,92.79845,10728.7295
1926-11-30,12084.8343739382,-8720.18956027008,10728.7295,92.79845,84.47225,5224.248
1926-12-31,5079.61564149642,-5290.32258064516,5224.248,84.47225,84.66507,6767.1167
1927-01-31,33211.8413894878,-3875.96774193548,6767.1167,84.66507,65.21182,5119.1143
1927-02-28,135868.459436574,-4175,5119.1143,65.21182,52.406834,358.5359
1927-03-31,57377.428971189,-3650,358.5359,52.406834,55.036713,235.56609
1927-04-30,47995.8453132068,-4024.35549022103,235.56609,55.036713,56.32228,286.09094
1927-05-31,25520.0320167192,-4031.98636295851,286.09094,56.32228,62.223583,654.1348
1927-06-30,30400,-2190.9142848805,654.1348,62.223583,61.544292,923.24896
1927-07-31,20400,-10948.2043196367,923.24896,61.544292,65.01557,1181.1505
1927-08-31,10400,-11621.849810116,1181.1505,65.01557,73.38519,2933.3425
1927-09-30,13437.5,-4466.36822423549,2933.3425,73.38519,74.07472,4608.126
1927-10-31,12500,-3885.11677867433,4608.126,74.07472,74.013596,5082.928
1927-11-30,5337.10445418052,-9521.16609276161,5082.928,74.013596,82.036865,6890.9634
1927-12-31,5245.50061244193,-9651.9937766175,6890.9634,82.036865,86.79904,10405.896
1928-01-31,16708.378638203,-3645.16129032258,10405.896,86.79904,77.160286,2887.7485
1928-02-29,20016.6328308874,-4040.51724137931,2887.7485,77.160286,67.35286,1715.9908
1928-03-31,84339.7164727895,-3500,1715.9908,67.35286,54.392868,464.6918
1928-04-30,21998.9116422832,-3156.87279384161,464.6918,54.392868,62.77142,655.73474
1928-05-31,10649.193,-3363.68500283568,655.73474,62.77142,73.64092,2925.8967
1928-06-30,30400,-2442.15510278245,2925.8967,73.64092,64.104256,2708.457
1928-07-31,20400,-9462.96158310114,2708.457,64.104256,66.67867,420.7851
1928-08-31,10400,-5558.63866379453,420.7851,66.67867,76.525444,1229.7089
1928-09-30,14062.5,-3943.92388290464,1229.7089,76.525444,73.99163,3418.6755
1928-10-31,12500,-2579.86662201619,3418.6755,73.99163,74.01784,4502.845
1928-11-30,6093.56389816749,-8151.62668273028,4502.845,74.01784,81.67311,6324.7476
1928-12-31,4527.21169001784,-6824.23234198036,6324.7476,81.67311,87.0105,10474.653
1929-01-31,11576.8802574669,-1344.32423776751,10474.653,87.0105,82.95891,4865.558
1929-02-28,13789.9199727257,-4250,4865.558,82.95891,77.90151,1861.4899
1929-03-31,8298.81163181324,-3593.29772080289,1861.4899,77.90151,78.595894,3938.8428
1929-04-30,7207.78724948541,-718.494197002559,3938.8428,78.595894,82.44079,8007.8486
1929-05-31,4078.87899717886,-2170.80605429033,8007.8486,82.44079,87.501724,10740.013
1929-06-30,3000,-1145.11944722649,10740.013,87.501724,91.293106,14572.733
1929-07-31,3000.02053970084,-1609.03621216578,14572.733,91.293106,93.81992,18029.582
1929-08-31,3000,-1707.77000194753,18029.582,93.81992,93.57441,19646.127
1929-09-30,3664.89431222854,-2553.91433052794,19646.127,93.57441,92.754265,11994.701
1929-10-31,3000,-2008.46091610215,11994.701,92.754265,93.81917,11308.166
1929-11-30,4711.56106410173,-660.380680551698,11308.166,93.81917,93.59841,11097.0205
1929-12-31,9104.03498137602,-5290.32258064516,11097.0205,93.59841,88.60371,6192.931
1930-01-31,17778.9330446471,-4262.09677419355,6192.931,88.60371,74.578964,4151.2725
1930-02-28,13785.7904998288,-3982.14285714286,4151.2725,74.578964,71.14334,3616.906
1930-03-31,27139.5125427285,-3905,3616.906,71.14334,63.90818,2334.6104
1930-04-30,8048.5510508809,-1974.96722535277,2334.6104,63.90818,74.43015,2727.4712
1930-05-31,10109.3583513769,-1161.01126728792,2727.4712,74.43015,80.24752,6473.651
1930-06-30,7110.29033930163,-4400,6473.651,80.24752,82.190285,7440.8574
1930-07-31,5000,-4773.26250506926,7440.8574,82.190285,85.90207,10074.219
1930-08-31,3500,-3607.17611224246,10074.219,85.90207,90.00563,13025.218
1930-09-30,3000,-6385.03704021068,13025.218,90.00563,92.43051,9644.214
1930-10-31,4000,-2243.74536744208,9644.214,92.43051,92.76132,10268.584
1930-11-30,5886.7491029044,-1783.01415719586,10268.584,92.76132,91.29444,9926.544
1930-12-31,4607.95591563003,-1423.73545549452,9926.544,91.29444,91.93729,9115.696
1931-01-31,11981.9591886946,-737.757529099132,9115.696,91.93729,84.94665,5726.475
1931-02-28,7906.74236513396,-4579.62893602725,5726.475,84.94665,83.47762,3766.6108
1931-03-31,7118.22531444183,-1158.82502148269,3766.6108,83.47762,84.05631,4591.5347
1931-04-30,4000,-808.213339265274,4591.5347,84.05631,88.3396,6837.1064
1931-05-31,4659.07246813229,-1759.07890543265,6837.1064,88.3396,91.55077,10032.018
1931-06-30,5148.04670471612,-2017.74486869175,10032.018,91.55077,91.34988,13528.504
1931-07-31,3000,-2093.85769449032,13528.504,91.34988,92.99729,15795.779
1931-08-31,3000,-3122.36882824133,15795.779,92.99729,93.865715,17883.242
1931-09-30,3000,-1995.85924763615,17883.242,93.865715,93.30057,12287.899
1931-10-31,3339.74937743607,-1737.52146560282,12287.899,93.30057,94.19314,11673.8
1931-11-30,5111.02974743553,-1553.80122115393,11673.8,94.19314,93.20993,11428.128
1931-12-31,12083.7771516956,-5290.32258064516,11428.128,93.20993,84.58636,4884.687
1932-01-31,15074.2718662134,-4625,4884.687,84.58636,74.686455,3665.339
1932-02-29,18474.4652646572,-3991.37931034483,3665.339,74.686455,68.54919,3428.0876
1932-03-31,7631.66394374551,-3321.65773584283,3428.0876,68.54919,76.85658,4316.7227
1932-04-30,9701.71839372943,-517.006743052763,4316.7227,76.85658,80.39636,7377.6196
1932-05-31,12242.2730729723,-3959.12561557068,7377.6196,80.39636,77.2205,6354.8877
1932-06-30,4535.56179886361,-4421.35596720812,6354.8877,77.2205,82.94592,6758.7866
1932-07-31,3019.07540919952,-1977.10068911889,6758.7866,82.94592,89.49826,11641.998
1932-08-31,3000,-2030.46609247708,11641.998,89.49826,92.277855,16108.491
1932-09-30,3499.99999999999,-3194.47892756648,16108.491,92.277855,92.81613,11083.1875
1932-10-31,3000,-4585.37760859653,11083.1875,92.81613,94.22512,11254.0205
1932-11-30,4121.61814798947,-2586.07314830159,11254.0205,94.22512,94.60279,11732.644
1932-12-31,6830.41540350861,-2435.21260202651,11732.644,94.60279,91.762985,9383.943
1933-01-31,8522.84493925954,-4625,9383.943,91.762985,87.36685,5943.585
1933-02-28,8434.32613472858,-4625,5943.585,87.36685,85.18395,4252.2427
1933-03-31,7480.16743676361,-1517.4767242694,4252.2427,85.18395,83.78222,4065.5398
1933-04-30,5936.87891344411,-681.940079289713,4065.5398,83.78222,86.18211,5259.6494
1933-05-31,5706.50926002629,-2192.33018354091,5259.6494,86.18211,88.81577,6787.5723
1933-06-30,3000,-1397.81485966907,6787.5723,88.81577,91.89971,11736.262
1933-07-31,3367.63559087074,-1952.50698184523,11736.262,91.89971,94.01665,16947.7
1933-08-31,3000,-2027.65730694216,16947.7,94.01665,93.63979,18520.965
1933-09-30,3641.11036603032,-2350.99827431349,18520.965,93.63979,92.60002,11519.572
1933-10-31,3000,-2267.56094371717,11519.572,92.60002,93.859634,11213.295
1933-11-30,5418.72053120005,-1234.80778186897,11213.295,93.859634,93.067795,11329.017
1933-12-31,8288.22702227967,-4177.47036254174,11329.017,93.067795,88.92495,7527.9155
1934-01-31,12393.6144160106,-4625,7527.9155,88.92495,82.26133,3092.613
1934-02-28,12745.0082719303,-3808.03571428571,3092.613,82.26133,75.71525,3890.6777
1934-03-31,7274.3500185419,-3706.28965602274,3890.6777,75.71525,79.596855,6284.255
1934-04-30,5090.38301746948,-761.260530481555,6284.255,79.596855,85.18963,10112.577
1934-05-31,4000,-1618.58176366466,10112.577,85.18963,90.0774,8114.5396
1934-06-30,3000,-1586.31860641,8114.5396,90.0774,93.49716,13503.532
1934-07-31,3000,-2087.13625694698,13503.532,93.49716,94.23574,17558.678
1934-08-31,3000,-2005.2814520416,17558.678,94.23574,93.931335,19030.4
1934-09-30,3668.05555556666,-2181.12075710885,19030.4,93.931335,92.7205,12300.897
1934-10-31,3000,-1959.78641118116,12300.897,92.7205,93.8455,11931.596
1934-11-30,5897.21519608275,-4452.57996091053,11931.596,93.8455,92.32384,9983.906
1934-12-31,4852.60657193581,-3590.7858848292,9983.906,92.32384,92.00979,8346.569
1935-01-31,27185.3979776831,-3439.51612903226,8346.569,92.00979,70.57118,2004.9249
1935-02-28,14182.078832437,-3982.14285714286,2004.9249,70.57118,68.3466,1371.8212
1935-03-31,25195.1010317368,-3905,1371.8212,68.3466,64.70417,1964.9172
1935-04-30,38476.5766754189,-3528.18393424405,1964.9172,64.70417,59.2664,787.49164
1935-05-31,19580.645,-2995.84527432301,787.49164,59.2664,65.01035,1032.264
1935-06-30,9687.917,-4475,1032.264,65.01035,74.823364,3220.3823
1935-07-31,6500,-8209.45084184883,3220.3823,74.823364,83.114494,3484.4612
1935-08-31,4000,-7979.4169097539,3484.4612,83.114494,87.18833,6069.3237
1935-09-30,3000,-5984.95602372663,6069.3237,87.18833,90.85523,8891.424
1935-10-31,6389.70842887505,-2186.38768544933,8891.424,90.85523,89.93194,8240.567
1935-11-30,4791.24584533241,-7987.26928599754,8240.567,89.93194,90.473335,7960.322
1935-12-31,7174.42931510997,-2917.23053785338,7960.322,90.473335,88.92052,7191.2754
1936-01-31,38098.6673720648,-3521.77419354839,7191.2754,88.92052,63.900665,1284.4227
1936-02-29,82418.3428115318,-4550,1284.4227,63.900665,53.99636,266.3012
1936-03-31,31625.721237079,-3575,266.3012,53.99636,59.6238,387.53107
1936-04-30,21793.3643141634,-3875,387.53107,59.6238,64.16005,1145.52
1936-05-31,15004.4088973184,-3865.35130302348,1145.52,64.16005,69.33548,2300.9363
1936-06-30,9171.40883276691,-4475,2300.9363,69.33548,77.08362,4496.556
1936-07-31,6500,-10040.0770663445,4496.556,77.08362,83.22428,4254.6636
1936-08-31,5569.6391039509,-9672.39291395619,4254.6636,83.22428,85.753815,5975.9116
1936-09-30,5356.9258480227,-10406.5753087739,5975.9116,85.753815,86.36974,11587.612
1936-10-31,4000,-6276.87491400753,11587.612,86.36974,88.64815,13711.38
1936-11-30,4500,-5094.55712378288,13711.38,88.64815,91.577385,8782.83
1936-12-31,6881.33553259373,-4273.36740960636,8782.83,91.577385,90.621,7687.3076
1937-01-31,10222.0797432247,-4775,7687.3076,90.621,85.67768,5068.244
1937-02-28,42661.518016763,-3962.85714285714,5068.244,85.67768,60.990314,921.8556
1937-03-31,46777.7337929393,-4355,921.8556,60.990314,56.703003,375.3753
1937-04-30,19162.2263543324,-3875,375.3753,56.703003,64.646645,950.0469
1937-05-31,13736.2665607997,-3875,950.0469,64.646645,71.306885,2841.7983
1937-06-30,10660,-4475,2841.7983,71.306885,76.40944,4431.548
1937-07-31,6500,-10300.3795026207,4431.548,76.40944,82.72603,3192.1167
1937-08-31,4000,-8573.10405008124,3192.1167,82.72603,87.30764,6172.678
1937-09-30,3781.05708406504,-6653.71885091302,6172.678,87.30764,90.027176,8751.719
1937-10-31,4000,-6923.4486918803,8751.719,90.027176,92.06916,9037.627
1937-11-30,12223.8968294694,-9360.26650293339,9037.627,92.06916,84.19264,4929.2925
1937-12-31,45987.9384137972,-5290.32258064516,4929.2925,84.19264,59.941486,1599.0822
1938-01-31,26532.4207968604,-4363.70967741936,1599.0822,59.941486,61.805058,684.17114
1938-02-28,144239.350657365,244.423992287223,684.17114,61.805058,52.31113,321.48196
1938-03-31,182136.462049817,4405.52461370081,321.48196,52.31113,51.797855,227.79735
1938-04-30,77952.3161004499,-1280.91528301533,227.79735,51.797855,53.561462,228.65471
1938-05-31,75562.3689503696,-245.281583884377,228.65471,53.561462,53.659454,231.34798
1938-06-30,46322.1109605473,-2520.09381247409,231.34798,53.659454,56.448673,257.4217
1938-07-31,21604.7344086129,-8936.27077182286,257.4217,56.448673,63.642082,759.59216
1938-08-31,10400,-7064.66648648555,759.59216,63.642082,73.012924,2952.9932
1938-09-30,13750,-5978.4888600225,2952.9932,73.012924,73.91067,4780.827
1938-10-31,12500,-3382.53308485153,4780.827,73.91067,73.980225,5196.882
1938-11-30,4900.07508418763,-9579.53009047013,5196.882,73.980225,82.499565,7454.1245
1938-12-31,4552.48792077262,-8664.83537643147,7454.1245,82.499565,87.80654,11863.662
1939-01-31,8963.9884917563,-2290.72978087683,11863.662,87.80654,85.84913,7027.212
1939-02-28,10437.7920664687,-4250,7027.212,85.84913,82.98352,4267.851
1939-03-31,9101.02259091653,-2866.29902927511,4267.851,82.98352,81.48657,3370.2588
1939-04-30,12048.0340604498,-2102.48627728386,3370.2588,81.48657,78.040184,6431.3057
1939-05-31,9889.97238430272,-2222.9267757333,6431.3057,78.040184,78.839584,6814.9062
1939-06-30,5760.94185120652,-1806.47358479435,6814.9062,78.839584,83.43225,8612.714
