"Date","OUTFLOW","OMR","MTZ_EC_prev","X2_prev","X2_current","MTZ_EC_current"
1921-11-30,4500,-6677.63727646991,21380.176,84.24794,89.25388,22991.162
1921-12-31,12704.7521415887,-5661.61330657735,22991.162,89.25388,82.33779,13665.913
1922-01-31,13580.1188557698,-4745,13665.913,82.33779,75.05654,13993.803
1922-02-28,41942.3811476816,-3625.89285714286,13993.803,75.05654,59.61508,4602.8726
1922-03-31,32301.8012452624,-3500,4602.8726,59.61508,59.819614,5153.7896
1922-04-30,21194.078939359,-3995,5153.7896,59.819614,64.28801,8398.956
1922-05-31,46907.5321897979,-4190,8398.956,64.28801,57.78377,3901.7285
1922-06-30,29000.2873668939,-4925,3901.7285,57.78377,60.908615,6358.313
1922-07-31,8000,-8862.48166799109,6358.313,60.908615,77.87636,18017.568
1922-08-31,4000,-11120.1093466683,18017.568,77.87636,86.1162,22865.404
1922-09-30,3442.60269961343,-7813.02812028327,22865.404,86.1162,89.13069,25175.576
1922-10-31,4797.88200798314,-8626.04376872766,25175.576,89.13069,90.25584,23032.205
1922-11-30,7424.558529358,-8387.37110326663,23032.205,90.25584,88.32607,20293.443
1922-12-31,31151.1545501844,-5290.32258064516,20293.443,88.32607,65.71992,6360.8584
1923-01-31,28295.8381127861,-4343.38709677419,6360.8584,65.71992,61.743595,6840.8525
1923-02-28,18272.4227482734,-4142.85714285714,6840.8525,61.743595,65.73622,10475.625
1923-03-31,13489.8444505958,-3500,10475.625,65.73622,71.01953,12423.901
1923-04-30,22144.1673244043,-3184.68011842165,12423.901,71.01953,66.67789,7857.9985
1923-05-31,13964.552960423,-3875,7857.9985,66.67789,70.48225,12295.969
1923-06-30,7596.25,-4475,12295.969,70.48225,79.23373,18924.973
1923-07-31,6997.20535609798,-9423.54253275309,18924.973,79.23373,83.85341,20530.605
1923-08-31,4000,-9514.47300830801,20530.605,83.85341,87.603806,23167.34
1923-09-30,5294.60970919859,-9100.0288289455,23167.34,87.603806,88.01345,23353.393
1923-10-31,4000,-7887.99632073638,23353.393,88.01345,88.683914,23849.01
1923-11-30,4958.37012123565,-5775.67001196608,23849.01,88.683914,91.02225,23712.979
1923-12-31,7059.85448920432,-2613.52665231518,23712.979,91.02225,89.69229,22300.816
1924-01-31,8765.02868361204,-4775,22300.816,89.69229,86.616615,20176.58
1924-02-29,11982.5090848508,-4625,20176.58,86.616615,80.34036,16081.039
