"Date","OUTFLOW","OMR","MTZ_EC_prev","X2_prev","X2_current","MTZ_EC_current"
1921-11-30,4500,-6677.63727646991,21380.176,84.24794,89.25388,22991.162
1921-12-31,12704.7521415887,-5661.61330657735,22991.162,89.25388,82.33779,13665.913
1922-01-31,13580.1188557698,-4745,13665.913,82.33779,75.05654,13993.803
1922-02-28,41942.290210838,-3625.89285714286,13993.803,75.05654,59.615086,4602.878
1922-03-31,32305.1710313284,-3500,4602.878,59.615086,59.81868,5153.2397
1922-04-30,21193.766956472,-3995,5153.2397,59.81868,64.28794,8399.097
1922-05-31,46903.7749192761,-4190,8399.097,64.28794,57.784447,3901.9866
1922-06-30,28995.7291700038,-4925,3901.9866,57.784447,60.910168,6359.5117
1922-07-31,8000,-8858.62305710287,6359.5117,60.910168,77.876595,18018.332
1922-08-31,4000,-11124.368336792,18018.332,77.876595,86.116196,22867.244
1922-09-30,3444.71135263125,-7807.56791133081,22867.244,86.116196,89.128586,25176.717
1922-10-31,4757.68720147436,-8549.13742971536,25176.717,89.128586,90.29969,23073.752
1922-11-30,7458.40225768861,-8445.62755846496,23073.752,90.29969,88.32569,20270.824
1922-12-31,31186.7890805863,-5290.32258064516,20270.824,88.32569,65.6963,6349.8984
1923-01-31,28296.9184062763,-4343.38709677419,6349.8984,65.6963,61.74134,6840.113
1923-02-28,18401.241095607,-4142.85714285714,6840.113,61.74134,65.6705,10408.469
1923-03-31,13462.1063926252,-3500,10408.469,65.6705,71.00623,12442.677
1923-04-30,22141.5200880764,-3184.57698654226,12442.677,71.00623,66.688446,7858.9663
1923-05-31,13912.1745422355,-3875,7858.9663,66.688446,70.529335,12331.539
1923-06-30,7596.25,-4475,12331.539,70.529335,79.26098,18930.186
1923-07-31,6932.8665952695,-9664.19971889174,18930.186,79.26098,83.91584,20590.703
1923-08-31,4000,-9512.67428011119,20590.703,83.91584,87.65619,23180.188
1923-09-30,5309.94718008316,-9085.49396991141,23180.188,87.65619,88.018196,23333.34
1923-10-31,4000,-8095.78133459954,23333.34,88.018196,88.67472,23842.764
1923-11-30,5013.93075147461,-5899.35882946513,23842.764,88.67472,90.957664,23636.512
1923-12-31,6841.29318003853,-2912.26292808172,23636.512,90.957664,89.87701,22498.035
1924-01-31,8836.36038553224,-4775,22498.035,89.87701,86.69918,20178.11
1924-02-29,11996.2115460833,-4625,20178.11,86.69918,80.345375,16050.789
1924-03-31,7294.14435493321,-1175.04253937833,16050.789,80.345375,81.04014,19416.447
