"Date","OUTFLOW","OMR","BD_EC_prev","X2_prev","X2_current","BD_EC_current"
1921-11-30,4500,-6567.93706661697,8332.985,89.17653,89.97917,13600.627
1921-12-31,18013.270575265,-5290.32258064516,13600.627,89.97917,77.82903,3301.7014
1922-01-31,17656.1172092836,-4343.38709677419,3301.7014,77.82903,68.58503,2155.8416
1922-02-28,61027.9602332934,-4262.48912283189,2155.8416,68.58503,56.009552,983.0714
1922-03-31,43831.6044378041,-3500,983.0714,56.009552,56.888405,336.6685
1922-04-30,33147.9283335519,-3995,336.6685,56.888405,59.68975,534.56305
1922-05-31,31674.0314544275,-3979.08103759593,534.56305,59.68975,60.65914,671.771
1922-06-30,8895.80367075385,-4207.21297748407,671.771,60.65914,72.972534,2375.489
1922-07-31,8162.63440861302,-9971.68240933485,2375.489,72.972534,81.57147,2907.557
1922-08-31,4000,-11164.9251615808,2907.557,81.57147,86.38444,5354.5957
1922-09-30,4644.94601335342,-8009.76532898975,5354.5957,86.38444,88.194336,11766.033
1922-10-31,4760.90365707186,-9645.2695057636,11766.033,88.194336,89.421425,7799.4263
1922-11-30,7409.05147448556,-8154.72129149317,7799.4263,89.421425,88.03516,6916.7817
1922-12-31,43397.1263625071,-5290.32258064516,6916.7817,88.03516,61.581337,3287.4204
1923-01-31,31861.921042699,-4343.38709677419,3287.4204,61.581337,60.163086,667.37103
1923-02-28,19448.8697896943,-4030.35714285714,667.37103,60.163086,64.86675,1171.1218
1923-03-31,12025.807,-2662.91056146586,1171.1218,64.86675,72.06253,2716.263
1923-04-30,24487.8186232118,-3065.74788876434,2716.263,72.06253,65.99883,2885.8762
1923-05-31,12124.193,-3441.21221361536,2885.8762,65.99883,71.63381,2636.081
1923-06-30,6718.75,-4475,2636.081,71.63381,80.9968,5382.398
1923-07-31,8585.22632083692,-10318.2560379711,5382.398,80.9968,82.92632,3827.7466
1923-08-31,4000,-9835.04184958285,3827.7466,82.92632,86.75935,5321.5527
1923-09-30,4899.21194126831,-7525.84961766073,5321.5527,86.75935,88.18728,12093.393
1923-10-31,4000.70784987916,-7212.90383476812,12093.393,88.18728,90.17317,8851.811
1923-11-30,7096.2120376515,-6886.50053377271,8851.811,90.17317,89.01075,8087.499
1923-12-31,6149.70421446509,-3413.08529765815,8087.499,89.01075,86.90402,11282.199
1924-01-31,9531.7371545905,-4775,11282.199,86.90402,84.73896,5692.3784
1924-02-29,13481.4248689611,-4625,5692.3784,84.73896,79.169044,2687.2388
1924-03-31,7103.7500687676,-1549.16257415337,2687.2388,79.169044,80.51224,4613.8276
1924-04-30,4834.18887730262,-697.333448304061,4613.8276,80.51224,85.88382,9821.733
1924-05-31,4260.21505378065,-1407.73020493804,9821.733,85.88382,90.68299,7980.662
1924-06-30,3000,-1455.24930784577,7980.662,90.68299,93.19813,12986.027
1924-07-31,3000,-1878.15524977827,12986.027,93.19813,94.23867,17414.078
1924-08-31,3000,-1722.57895647106,17414.078,94.23867,94.01693,19191.084
1924-09-30,3677.14596724563,-2219.10221731685,19191.084,94.01693,92.70342,11776.536
1924-10-31,3679.93709438908,-5014.68351368451,11776.536,92.70342,93.19075,11141.487
1924-11-30,5694.27319989542,-2598.86929566549,11141.487,93.19075,92.2881,11210.697
1924-12-31,9057.09676729888,-3638.74698512188,11210.697,92.2881,87.441765,7471.264
1925-01-31,8523.36349848524,-4625,7471.264,87.441765,84.3786,8137.974
1925-02-28,78404.2310412682,-4035.71428571429,8137.974,84.3786,55.978363,892.00134
1925-03-31,16846.6594701248,-3905,892.00134,55.978363,64.83334,948.9195
1925-04-30,27290.171330614,-2516.36798210203,948.9195,64.83334,63.14765,1372.5642
1925-05-31,13246.7263839851,-2231.45929782384,1372.5642,63.14765,69.87316,2177.4026
1925-06-30,6779.1665,-4400,2177.4026,69.87316,80.41108,5495.281
1925-07-31,5000,-6904.93224848271,5495.281,80.41108,85.37056,9833.13
1925-08-31,3500,-4839.17705947438,9833.13,85.37056,88.68788,13545.544
1925-09-30,3479.36476921262,-7002.76549628302,13545.544,88.68788,91.776634,9371.495
1925-10-31,4000,-3902.93808294964,9371.495,91.776634,92.31274,9650.058
1925-11-30,5514.40368593264,-4426.82840706885,9650.058,92.31274,91.80773,9388.043
1925-12-31,6297.46338973011,-3072.03760523785,9388.043,91.80773,90.68639,8105.417
1926-01-31,15113.0452807491,-4055,8105.417,90.68639,80.24172,3131.6138
1926-02-28,43656.4987321292,-3808.03571428571,3131.6138,80.24172,59.633446,956.78406
1926-03-31,17663.307,-1241.95184503098,956.78406,59.633446,65.20648,992.6525
1926-04-30,20975.0881567431,-2391.86282842247,992.6525,65.20648,66.02178,1816.922
1926-05-31,11487.097,-3223.57589975288,1816.922,66.02178,73.11659,2925.823
1926-06-30,7100,-4400,2925.823,73.11659,81.15225,5952.2007
1926-07-31,5000,-5675.70345862524,5952.2007,81.15225,85.345436,10510.123
1926-08-31,3500,-3657.69353840236,10510.123,85.345436,88.99366,13741.95
1926-09-30,3000,-5419.93374075696,13741.95,88.99366,92.41065,10431.987
1926-10-31,4004.48156949502,-3894.7173140678,10431.987,92.41065,92.793594,10694.018
1926-11-30,16305.7519308342,-8491.17077854502,10694.018,92.793594,80.092545,3860.9197
1926-12-31,13448.3790079129,-5290.32258064516,3860.9197,80.092545,73.42079,3107.6172
1927-01-31,36423.9372470753,-3875.96774193548,3107.6172,73.42079,61.285824,1919.9172
1927-02-28,173020.713819439,-4175,1919.9172,61.285824,51.553974,292.3171
1927-03-31,51043.3268439242,-3575,292.3171,51.553974,55.869656,237.43416
1927-04-30,49283.0095341815,-3917.32017781729,237.43416,55.869656,56.26717,286.98526
1927-05-31,16399.193,-3960.01105073869,286.98526,56.26717,66.26758,1051.7944
1927-06-30,7140.07833807154,-4505,1051.7944,66.26758,78.34329,3937.8857
1927-07-31,9760.56969213227,-10296.9354414575,3937.8857,78.34329,80.689125,7835.4375
1927-08-31,4000,-11434.8385951189,7835.4375,80.689125,84.15954,9570.29
1927-09-30,3745.19722331129,-9200.54127884599,9570.29,84.15954,88.27703,13619.899
1927-10-31,4354.38529757061,-6028.3358651538,13619.899,88.27703,90.12203,9481.499
1927-11-30,6918.05341178241,-7799.74416409915,9481.499,90.12203,89.42744,7811.9443
1927-12-31,5531.64995874013,-7932.11936134154,7811.9443,89.42744,88.180885,9600.164
1928-01-31,16905.1304621466,-3645.16129032258,9600.164,88.180885,77.56001,2858.7605
1928-02-29,20475.8228396648,-4040.51724137931,2858.7605,77.56001,67.29196,1835.3597
1928-03-31,97922.4199880915,-3500,1835.3597,67.29196,53.85609,438.65866
1928-04-30,30410.3011752945,-3220.98790492365,438.65866,53.85609,59.93502,425.36093
1928-05-31,12510.081,-3265.1924844322,425.36093,59.93502,70.34199,2019.7432
1928-06-30,7864.90174766662,-4490,2019.7432,70.34199,79.47895,5431.5786
1928-07-31,10349.622967698,-8678.3078013729,5431.5786,79.47895,80.74951,3204.7158
1928-08-31,4000,-11206.9374708672,3204.7158,80.74951,85.411545,4818.957
1928-09-30,3526.59008569362,-6282.55110735204,4818.957,85.411545,89.79239,8479.93
1928-10-31,4000.71791951363,-5419.62371378967,8479.93,89.79239,91.752594,9472.723
1928-11-30,7651.52687240362,-8125.612914672,9472.723,91.752594,89.25076,7839.439
1928-12-31,6263.22535374344,-6477.97761972756,7839.439,89.25076,88.18178,5884.9707
1929-01-31,8510.93473025679,-4745,5884.9707,88.18178,86.40616,5405.9004
1929-02-28,16277.7645748437,-3580.35714285714,5405.9004,86.40616,77.34892,2356.674
1929-03-31,11400,-2817.62792144403,2356.674,77.34892,74.5088,2822.097
1929-04-30,7184.37189072826,-1046.47561151615,2822.097,74.5088,80.69982,6073.7344
1929-05-31,4000,-2148.08737720362,6073.7344,80.69982,87.43583,10011.729
1929-06-30,4000,-1644.50572601271,10011.729,87.43583,89.98382,13746.441
1929-07-31,4000,-3308.56846511514,13746.441,89.98382,91.97228,15910.587
1929-08-31,3005.26561540018,-3148.23095607413,15910.587,91.97228,92.850845,17063.182
1929-09-30,3000,-4265.24230287314,17063.182,92.850845,93.20948,11286.077
1929-10-31,3000,-1952.35180583694,11286.077,93.20948,94.19889,11640.313
1929-11-30,4817.63483017631,-549.790700608775,11640.313,94.19889,93.65689,11355.384
1929-12-31,14317.9941141457,-5290.32258064516,11355.384,93.65689,82.80344,3989.4187
1930-01-31,26691.0408233799,-4262.09677419355,3989.4187,82.80344,65.27234,1578.0436
1930-02-28,18535.715,-2402.34942480832,1578.0436,65.27234,65.866936,1528.5931
1930-03-31,30041.6227738869,-3905,1528.5931,65.866936,61.9813,1259.2313
1930-04-30,12262.6437283901,-2088.79418943575,1259.2313,61.9813,70.00208,1847.7942
1930-05-31,7562.5593671567,-2629.27664073735,1847.7942,70.00208,80.338776,5172.6
1930-06-30,7112.33216153599,-4400,5172.6,80.338776,83.67165,8190.1743
1930-07-31,5000,-9667.85305947115,8190.1743,83.67165,85.97664,10785.841
1930-08-31,3500,-7132.71726901102,10785.841,85.97664,90.27212,13337.5205
1930-09-30,3166.08855511422,-5789.2586999485,13337.5205,90.27212,92.35696,9661.05
1930-10-31,4506.48629582612,-2085.35019724001,9661.05,92.35696,92.06038,9843.003
1930-11-30,5424.59807092333,-4058.18358711952,9843.003,92.06038,91.284325,9818.786
1930-12-31,4550.08603246676,-2128.0753759531,9818.786,91.284325,92.24173,9172.614
1931-01-31,12935.9257738202,-2296.57684219813,9172.614,92.24173,84.0774,4926.14
1931-02-28,8440.95902196769,-4625,4926.14,84.0774,80.85768,5265.6616
1931-03-31,7287.30371844157,-1596.3042595479,5265.6616,80.85768,83.01136,3941.0334
1931-04-30,4057.60804659185,-756.897990293774,3941.0334,83.01136,87.95844,6345.0713
1931-05-31,4765.05862602374,-1821.49789288325,6345.0713,87.95844,90.56637,9541.646
1931-06-30,4625.23862406903,-1680.95043741662,9541.646,90.56637,91.91457,13839.376
