"Date","OUTFLOW","OMR","BD_EC_prev","X2_prev","X2_current","BD_EC_current"
1921-11-30,4500,-6677.63727646991,8339.875,84.24794,89.25388,13744.881
1921-12-31,12704.7521415887,-5661.61330657735,13744.881,89.25388,82.33779,4571.047
1922-01-31,13580.1188557698,-4745,4571.047,82.33779,75.05654,3932.663
1922-02-28,41942.4020777113,-3625.89285714286,3932.663,75.05654,59.61507,2427.976
1922-03-31,32302.0924984674,-3500,2427.976,59.61507,59.819542,652.4686
1922-04-30,21194.0304400638,-3995,652.4686,59.819542,64.28801,1098.0161
1922-05-31,46848.8645344962,-4190,1098.0161,64.28801,57.79438,740.69727
1922-06-30,28981.3040832856,-4925,740.69727,57.79438,60.91628,574.72156
1922-07-31,10200,-8864.4419585605,574.72156,60.91628,75.82751,846.47217
1922-08-31,10200,-10381.7973994369,846.47217,75.82751,79.780655,2167.9626
1922-09-30,3000,-9460.87145410286,2167.9626,79.780655,85.11928,6897.5156
1922-10-31,4000,-7215.03217513663,6897.5156,85.11928,90.780945,8418.246
1922-11-30,7181.1267978714,-7840.42660252037,8418.246,90.780945,88.73977,7972.9927
1922-12-31,28614.4743115359,-5290.32258064516,7972.9927,88.73977,66.92474,5076.3486
1923-01-31,28231.1928196827,-4343.38709677419,5076.3486,66.92474,61.902298,1237.378
1923-02-28,18231.0215491454,-4142.85714285714,1237.378,61.902298,65.760994,1443.6698
1923-03-31,12908.9571772343,-3500,1443.6698,65.760994,71.58715,2828.877
1923-04-30,21531.3210542557,-3188.25650135659,2828.877,71.58715,67.239716,3021.941
1923-05-31,13802.3997100165,-3875,3021.941,67.239716,70.78535,2788.8936
1923-06-30,7596.25,-4475,2788.8936,70.78535,79.32608,4864.5566
1923-07-31,7057.04274155554,-9455.23321068304,4864.5566,79.32608,83.81123,3960.73
1923-08-31,4000,-9519.52708007326,3960.73,83.81123,87.58192,5681.8633
1923-09-30,4748.34707011048,-8112.90641039087,5681.8633,87.58192,88.547966,12011.402
1923-10-31,4000,-8769.80999445691,12011.402,88.547966,90.4082,8593.268
1923-11-30,5927.6445061804,-5221.14037667915,8593.268,90.4082,90.43897,8806.639
1923-12-31,6274.97612136516,-3546.31235014574,8806.639,90.43897,88.81507,7563.34
1924-01-31,10935.0757395227,-2848.42368860561,7563.34,88.81507,84.2047,5201.0293
1924-02-29,11887.5666511443,-4625,5201.0293,84.2047,79.93173,2735.5479
1924-03-31,7294.37459487498,-1173.06880638786,2735.5479,79.93173,80.997536,5347.12
1924-04-30,4787.10779118914,-576.478771250337,5347.12,80.997536,86.849655,5567.9097
1924-05-31,4018.00336681566,-1654.12894014958,5567.9097,86.849655,91.50416,8670.674
1924-06-30,4109.3086750396,-1582.65838914709,8670.674,91.50416,90.907555,13300.369
1924-07-31,3000,-1956.58683702149,13300.369,90.907555,93.56868,16138.301
1924-08-31,3000,-1755.53576357165,16138.301,93.56868,93.97498,18435.611
1924-09-30,3668.05555556667,-2177.0631857375,18435.611,93.97498,92.667145,11733.811
1924-10-31,3498.46709601832,-4803.69820437708,11733.811,92.667145,93.34939,11388.469
1924-11-30,5984.19650264398,-2626.85523598403,11388.469,93.34939,92.13311,11352.865
1924-12-31,8623.6717167815,-3525.33565652616,11352.865,92.13311,87.739876,7750.7036
1925-01-31,8951.31944510256,-4625,7750.7036,87.739876,84.435356,4477.8535
1925-02-28,72411.8885942039,-4035.71428571429,4477.8535,84.435356,56.88333,766.2774
1925-03-31,17814.4494490942,-3905,766.2774,56.88333,64.36177,830.8771
1925-04-30,23252.3401897439,-2712.0524891994,830.8771,64.36177,64.752,1565.6711
