"Date","OUTFLOW","OMR","BD_EC_prev","X2_prev","X2_current","BD_EC_current"
1921-11-30,4500,-6677.63727646991,8339.875,84.24794,89.25388,13744.881
1921-12-31,12704.7521415887,-5661.61330657735,13744.881,89.25388,82.33779,4571.047
1922-01-31,13580.1188557698,-4745,4571.047,82.33779,75.05654,3932.663
1922-02-28,41942.4230538141,-3625.89285714286,3932.663,75.05654,59.61506,2427.976
1922-03-31,32301.2321905564,-3500,2427.976,59.61506,59.81979,652.5072
1922-04-30,21194.1435590452,-3995,652.5072,59.81979,64.28802,1098.0349
1922-05-31,46851.2634408499,-4190,1098.0349,64.28802,57.793938,740.7086
1922-06-30,28861.0166223712,-4925,740.7086,57.793938,60.954453,576.0987
1922-07-31,10200,-8830.56643734014,576.0987,60.954453,73.976746,1331.6107
1922-08-31,10200,-10336.5590302227,1331.6107,73.976746,78.90523,2906.561
1922-09-30,3000,-9695.68064262608,2906.561,78.90523,85.23314,5506.7407
1922-10-31,4000,-7114.24655697626,5506.7407,85.23314,90.903145,8453.037
1922-11-30,7251.38207956184,-7770.50563739508,8453.037,90.903145,89.29566,7880.2627
1922-12-31,28861.4572125433,-5290.32258064516,7880.2627,89.29566,66.903305,4937.17
1923-01-31,28240.4724072271,-4343.38709677419,4937.17,66.903305,61.893997,1233.5381
1923-02-28,18246.0758579963,-4142.85714285714,1233.5381,61.893997,65.75264,1441.9401
1923-03-31,12893.5292080981,-3500,1441.9401,65.75264,71.597015,2828.9685
1923-04-30,21521.6089176877,-3188.39106585063,2828.9685,71.597015,67.251495,3026.188
1923-05-31,13800.7187809671,-3875,3026.188,67.251495,70.78951,2791.0566
1923-06-30,7596.25,-4475,2791.0566,70.78951,79.32708,4865.3423
1923-07-31,6559.01014573941,-9458.47702949799,4865.3423,79.32708,83.756424,5594.4326
1923-08-31,4000,-9519.7164130507,5594.4326,83.756424,87.03782,7132.9243
1923-09-30,5156.27140108642,-9211.2939889876,7132.9243,87.03782,88.091156,8879.411
1923-10-31,4000,-7661.35374687685,8879.411,88.091156,89.566864,9672.758
1923-11-30,5545.97497931785,-5394.89551352303,9672.758,89.566864,91.12412,8879.177
1923-12-31,6229.21898309921,-3516.10362727695,8879.177,91.12412,90.06717,8098.5513
1924-01-31,10895.4677459679,-2869.65127319614,8098.5513,90.06717,84.97072,5162.0845
1924-02-29,11885.2651678453,-4625,5162.0845,84.97072,79.525246,2739.5835
1924-03-31,7294.78267034914,-1172.02405085986,2739.5835,79.525246,81.00622,5351.0845
1924-04-30,4789.01171760862,-576.474694598165,5351.0845,81.00622,86.84781,5567.4307
1924-05-31,4017.48538893443,-1654.12823260631,5567.4307,86.84781,91.50296,8669.853
1924-06-30,4113.82083281262,-1620.33312442271,8669.853,91.50296,90.902954,13296.91
1924-07-31,3000,-1956.56892246133,13296.91,90.902954,93.56442,16129.288
1924-08-31,3000,-1755.52136619205,16129.288,93.56442,93.97464,18431.9
1924-09-30,3668.05555556667,-2176.60393770414,18431.9,93.97464,92.666954,11729.701
1924-10-31,3496.44301075885,-4805.25170426968,11729.701,92.666954,93.35139,11387.634
1924-11-30,5985.1444627671,-2624.93514205108,11387.634,93.35139,92.13386,11354.298
1924-12-31,8668.48088404233,-3549.30624293524,11354.298,92.13386,87.68726,7720.719
1925-01-31,8952.43969138125,-4625,7720.719,87.68726,84.39707,4451.204
1925-02-28,72441.446792137,-4035.71428571429,4451.204,84.39707,56.878292,764.377
1925-03-31,17815.3142774605,-3905,764.377,56.878292,64.360985,830.74243
1925-04-30,23252.2268272395,-2712.05748166692,830.74243,64.360985,64.75198,1565.689
