"Date","OUTFLOW","OMR","BD_EC_prev","X2_prev","X2_current","BD_EC_current"
1921-11-30,4500,-6677.63727646991,8339.875,84.24794,89.25388,13744.881
1921-12-31,12704.7521415887,-5661.61330657735,13744.881,89.25388,82.33779,4571.047
1922-01-31,13580.1188557698,-4745,4571.047,82.33779,75.05654,3932.663
1922-02-28,41942.4090865731,-3625.89285714286,3932.663,75.05654,59.61507,2427.976
1922-03-31,32299.6314749153,-3500,2427.976,59.61507,59.820217,652.61444
1922-04-30,21194.452189917,-3995,652.61444,59.820217,64.28797,1098.0591
1922-05-31,46847.1343997849,-4190,1098.0591,64.28797,57.79467,740.70807
1922-06-30,28981.0451085113,-4925,740.70807,57.79467,60.9164,574.7069
1922-07-31,8000,-8864.55496131282,574.7069,60.9164,77.87801,1080.7701
1922-08-31,7000,-11122.6276048417,1080.7701,77.87801,83.26158,3700.9495
1922-09-30,3000,-10338.2914528979,3700.9495,83.26158,87.28198,9140.517
1922-10-31,4053.70630601599,-6791.7967479982,9140.517,87.28198,91.044914,8988.763
1922-11-30,7203.51234307286,-7783.71373260033,8988.763,91.044914,89.03258,8126.3457
1922-12-31,30792.6061360895,-5290.32258064516,8126.3457,89.03258,66.00462,4835.7207
1923-01-31,28277.6620815415,-4343.38709677419,4835.7207,66.00462,61.768078,1125.2549
1923-02-28,18263.8201957196,-4142.85714285714,1125.2549,61.768078,65.74205,1433.2887
1923-03-31,12892.6603089573,-3500,1433.2887,65.74205,71.58881,2826.1028
1923-04-30,21515.2157825537,-3189.10452754139,2826.1028,71.58881,67.25766,3025.6587
1923-05-31,13804.3029041866,-3875,3025.6587,67.25766,70.78801,2791.466
1923-06-30,7596.25,-4475,2791.466,70.78801,79.325294,4864.9487
1923-07-31,7050.33597830476,-9447.18813121906,4864.9487,79.325294,83.81733,3963.6658
1923-08-31,4000,-9518.890066633,3963.6658,83.81733,87.58689,5638.6504
1923-09-30,5278.5936596109,-9092.13290762413,5638.6504,87.58689,88.021416,11781.382
1923-10-31,4000,-7806.91429387155,11781.382,88.021416,88.69453,14321.332
1923-11-30,4934.96378154391,-5723.19926300356,14321.332,88.69453,91.05132,9243.053
1923-12-31,7061.6666499665,-2606.83479788652,9243.053,91.05132,89.71537,8126.652
1924-01-31,8766.35486600482,-4775,8126.652,89.71537,86.624504,5745.654
1924-02-29,11984.6007884734,-4625,5745.654,86.624504,80.34124,3488.0396
1924-03-31,7294.38183613842,-1172.68685801005,3488.0396,80.34124,81.04172,5500.553
1924-04-30,4819.24980805449,-576.380010641209,5500.553,81.04172,86.84302,5621.5347
1924-05-31,4018.17693262957,-1654.11069672456,5621.5347,86.84302,91.46082,8675.406
1924-06-30,4097.88458120155,-1745.07275525463,8675.406,91.46082,90.90581,13280.947
1924-07-31,3000,-1956.18037395938,13280.947,90.90581,93.574844,16127.879
1924-08-31,3000,-1755.4959165618,16127.879,93.574844,93.97569,18438.645
1924-09-30,3668.05555556667,-2177.99865365745,18438.645,93.97569,92.66763,11719.855
1924-10-31,3503.93955825147,-4836.95911421421,11719.855,92.66763,93.343994,11369.454
1924-11-30,5981.61361310405,-2629.88701872891,11369.454,93.343994,92.13114,11341.615
1924-12-31,8708.33913885443,-3568.0257550617,11341.615,92.13114,87.641525,7693.9956
1925-01-31,8948.17543131516,-4625,7693.9956,87.641525,84.36774,4439.852
1925-02-28,72597.0122037634,-4035.71428571429,4439.852,84.36774,56.863777,764.6286
1925-03-31,17816.827297288,-3905,764.6286,56.863777,64.3582,830.2826
1925-04-30,23253.7897741758,-2712.16596549817,830.2826,64.3582,64.75123,1565.2233
