"Date","OUTFLOW","OMR","MTZ_EC_prev","X2","MTZ_EC_current","scenario","year","month"
1921-11-30,4564.88784348822,-8560.22573348467,16840.486,85.57823,22175.23,"StatusQuo",1921,11
1921-12-31,9142.88305028664,-8924.74501045624,22175.23,83.95635,17778.08,"StatusQuo",1921,12
1922-01-31,13929.7841724222,-4745,17778.08,76.188255,13455.4795,"StatusQuo",1922,1
1922-02-28,42087.0506585102,-3625.89285714286,13455.4795,59.619823,4529.429,"StatusQuo",1922,2
1922-03-31,31674.0872005016,-3500,4529.429,59.98249,5273.421,"StatusQuo",1922,3
1922-04-30,21224.5592622723,-3995,5273.421,64.27107,8402.406,"StatusQuo",1922,4
1922-05-31,46343.4401635627,-4190,8402.406,57.886215,3941.164,"StatusQuo",1922,5
1922-06-30,28968.7723812567,-4925,3941.164,60.933884,6364.6606,"StatusQuo",1922,6
1922-07-31,8000,-8862.84328816691,6364.6606,77.88679,18014.576,"StatusQuo",1922,7
1922-08-31,6004.032,-10082.2440057608,18014.576,84.184975,21068.188,"StatusQuo",1922,8
1922-09-30,11250,-3745.04724273691,21068.188,79.95939,17329.76,"StatusQuo",1922,9
1922-10-31,8125,-6250.3188201647,17329.76,79.958206,17676.51,"StatusQuo",1922,10
1922-11-30,7834.68992409095,-8541.62072117391,17676.51,82.73005,18056.572,"StatusQuo",1922,11
1922-12-31,31344.8190961684,-5290.32258064516,18056.572,64.70845,6314.142,"StatusQuo",1922,12
1923-01-31,28305.7636560492,-4343.38709677419,6314.142,61.799347,6539.8384,"StatusQuo",1923,1
1923-02-28,18263.2355654314,-4142.85714285714,6539.8384,65.69276,10237.766,"StatusQuo",1923,2
1923-03-31,12898.0434339356,-3500,10237.766,71.45553,12857.222,"StatusQuo",1923,3
1923-04-30,21537.1546176201,-3188.54226137752,12857.222,67.24337,8132.386,"StatusQuo",1923,4
1923-05-31,13803.9632527792,-3875,8132.386,70.78251,12415.915,"StatusQuo",1923,5
1923-06-30,7596.25,-4475,12415.915,79.32521,18976.223,"StatusQuo",1923,6
1923-07-31,7121.50985542068,-9534.24202295713,18976.223,83.752106,20409.049,"StatusQuo",1923,7
1923-08-31,4000,-9535.08518325151,20409.049,87.534225,23243.027,"StatusQuo",1923,8
1923-09-30,4767.80017056403,-8062.81796369102,23243.027,88.5109,23986.375,"StatusQuo",1923,9
1923-10-31,4000,-7277.79144366661,23986.375,90.3865,24273.004,"StatusQuo",1923,10
1923-11-30,5549.86899172403,-4945.03475582042,24273.004,90.86046,23964.678,"StatusQuo",1923,11
1923-12-31,6590.06838218704,-3177.25405488981,23964.678,88.82207,22263.848,"StatusQuo",1923,12
