"Date","SAC_Keswick_CFS","scenario","year","month","WY_type"
1922-04-30,5770.8333335,"June",1922,4,"Above Normal"
1922-05-31,7662.15013366802,"June",1922,5,"Above Normal"
1922-06-30,9097.92937659628,"June",1922,6,"Above Normal"
1922-07-31,11332.2638043026,"June",1922,7,"Above Normal"
1922-08-31,9105.81047658996,"June",1922,8,"Above Normal"
1922-09-30,7208.80410410301,"June",1922,9,"Above Normal"
1922-10-31,6691.95352039273,"June",1922,10,"Above Normal"
1922-11-30,3696.06513233314,"June",1922,11,"Above Normal"
1928-04-30,4513.30580569026,"June",1928,4,"Above Normal"
1928-05-31,8308.59592626659,"June",1928,5,"Above Normal"
1928-06-30,13102.5943017505,"June",1928,6,"Above Normal"
1928-07-31,16000,"June",1928,7,"Above Normal"
1928-08-31,14586.5466813114,"June",1928,8,"Above Normal"
1928-09-30,6372.21850714478,"June",1928,9,"Above Normal"
1928-10-31,5879.96002934164,"June",1928,10,"Above Normal"
1928-11-30,4913.63089683598,"June",1928,11,"Above Normal"
1953-04-30,5770.8333335,"June",1953,4,"Above Normal"
1953-05-31,7462.33359195308,"June",1953,5,"Above Normal"
1953-06-30,8864.48153948133,"June",1953,6,"Above Normal"
1953-07-31,14364.1884088383,"June",1953,7,"Above Normal"
1953-08-31,9118.06489509143,"June",1953,8,"Above Normal"
1953-09-30,10399.5749667518,"June",1953,9,"Above Normal"
1953-10-31,8187.43955427771,"June",1953,10,"Above Normal"
1953-11-30,5829.51614899951,"June",1953,11,"Above Normal"
1954-04-30,8951.55561682715,"June",1954,4,"Above Normal"
1954-05-31,7472.7568674634,"June",1954,5,"Above Normal"
1954-06-30,10850.2418877223,"June",1954,6,"Above Normal"
1954-07-31,16000,"June",1954,7,"Above Normal"
1954-08-31,11634.672138618,"June",1954,8,"Above Normal"
1954-09-30,6304.00029605058,"June",1954,9,"Above Normal"
1954-10-31,6739.50696691073,"June",1954,10,"Above Normal"
1954-11-30,3264.02625119464,"June",1954,11,"Above Normal"
1973-04-30,3170.55203606508,"June",1973,4,"Above Normal"
1973-05-31,5568.99948319781,"June",1973,5,"Above Normal"
1973-06-30,9088.91102717357,"June",1973,6,"Above Normal"
1973-07-31,15458.0193364129,"June",1973,7,"Above Normal"
1973-08-31,8715.13603697493,"June",1973,8,"Above Normal"
1973-09-30,7553.78169228803,"June",1973,9,"Above Normal"
1973-10-31,4597.08423969293,"June",1973,10,"Above Normal"
1973-11-30,18907.3698236166,"June",1973,11,"Above Normal"
1978-04-30,3148.40685626281,"June",1978,4,"Above Normal"
1978-05-31,8334.91086185518,"June",1978,5,"Above Normal"
1978-06-30,7346.77661230112,"June",1978,6,"Above Normal"
1978-07-31,9795.29449154177,"June",1978,7,"Above Normal"
1978-08-31,10867.5088032511,"June",1978,8,"Above Normal"
1978-09-30,10082.1617569335,"June",1978,9,"Above Normal"
1978-10-31,7756.00805982106,"June",1978,10,"Above Normal"
1978-11-30,5567.87336431214,"June",1978,11,"Above Normal"
1993-04-30,3159.41306630786,"June",1993,4,"Above Normal"
1993-05-31,6858.57365766497,"June",1993,5,"Above Normal"
1993-06-30,10113.4613659621,"June",1993,6,"Above Normal"
1993-07-31,12510.6125956858,"June",1993,7,"Above Normal"
1993-08-31,7802.37130111118,"June",1993,8,"Above Normal"
1993-09-30,8375.47887807376,"June",1993,9,"Above Normal"
1993-10-31,7791.08866504495,"June",1993,10,"Above Normal"
1993-11-30,6257.3652179576,"June",1993,11,"Above Normal"
2000-04-30,3768.08909434252,"June",2000,4,"Above Normal"
2000-05-31,8099.95290864542,"June",2000,5,"Above Normal"
2000-06-30,10335.445309348,"June",2000,6,"Above Normal"
2000-07-31,15622.1747168792,"June",2000,7,"Above Normal"
2000-08-31,9811.77202950474,"June",2000,8,"Above Normal"
2000-09-30,6001.78822113607,"June",2000,9,"Above Normal"
2000-10-31,8625.03587523715,"June",2000,10,"Above Normal"
2000-11-30,4819.14665054328,"June",2000,11,"Above Normal"
2003-04-30,11068.7050167973,"June",2003,4,"Above Normal"
2003-05-31,13400.4381331247,"June",2003,5,"Above Normal"
2003-06-30,7696.79868969173,"June",2003,6,"Above Normal"
2003-07-31,16000,"June",2003,7,"Above Normal"
2003-08-31,7437.37473824446,"June",2003,8,"Above Normal"
2003-09-30,9290.76362473839,"June",2003,9,"Above Normal"
2003-10-31,8032.72409080149,"June",2003,10,"Above Normal"
2003-11-30,4338.17016339783,"June",2003,11,"Above Normal"
1922-04-30,5770.8333335,"MaxDS_Even",1922,4,"Above Normal"
1922-05-31,5403.7706408284,"MaxDS_Even",1922,5,"Above Normal"
1922-06-30,9371.64013771398,"MaxDS_Even",1922,6,"Above Normal"
1922-07-31,16612.493611109,"MaxDS_Even",1922,7,"Above Normal"
1922-08-31,16981.7088361244,"MaxDS_Even",1922,8,"Above Normal"
1922-09-30,8901.97598884151,"MaxDS_Even",1922,9,"Above Normal"
1922-10-31,9490.2585354245,"MaxDS_Even",1922,10,"Above Normal"
1922-11-30,4382.8325883712,"MaxDS_Even",1922,11,"Above Normal"
1928-04-30,4513.30580569027,"MaxDS_Even",1928,4,"Above Normal"
1928-05-31,8805.13743183005,"MaxDS_Even",1928,5,"Above Normal"
1928-06-30,17547.718321292,"MaxDS_Even",1928,6,"Above Normal"
1928-07-31,24902.6574887866,"MaxDS_Even",1928,7,"Above Normal"
1928-08-31,21236.7716706925,"MaxDS_Even",1928,8,"Above Normal"
1928-09-30,8438.6407975656,"MaxDS_Even",1928,9,"Above Normal"
1928-10-31,13094.7588195808,"MaxDS_Even",1928,10,"Above Normal"
1928-11-30,5391.77691070374,"MaxDS_Even",1928,11,"Above Normal"
1953-04-30,5770.8333335,"MaxDS_Even",1953,4,"Above Normal"
1953-05-31,7462.61610495372,"MaxDS_Even",1953,5,"Above Normal"
1953-06-30,9997.77242134188,"MaxDS_Even",1953,6,"Above Normal"
1953-07-31,21355.2207111841,"MaxDS_Even",1953,7,"Above Normal"
1953-08-31,18185.9095265133,"MaxDS_Even",1953,8,"Above Normal"
1953-09-30,8327.19642529473,"MaxDS_Even",1953,9,"Above Normal"
1953-10-31,11403.4192246203,"MaxDS_Even",1953,10,"Above Normal"
1953-11-30,5620.47514357445,"MaxDS_Even",1953,11,"Above Normal"
1954-04-30,8951.55561682709,"MaxDS_Even",1954,4,"Above Normal"
1954-05-31,7472.75686746343,"MaxDS_Even",1954,5,"Above Normal"
1954-06-30,16000,"MaxDS_Even",1954,6,"Above Normal"
1954-07-31,24819.7934402164,"MaxDS_Even",1954,7,"Above Normal"
1954-08-31,18810.3146116297,"MaxDS_Even",1954,8,"Above Normal"
1954-09-30,7839.30114203501,"MaxDS_Even",1954,9,"Above Normal"
1954-10-31,12656.4752378487,"MaxDS_Even",1954,10,"Above Normal"
1954-11-30,4400.24677716687,"MaxDS_Even",1954,11,"Above Normal"
1973-04-30,3250,"MaxDS_Even",1973,4,"Above Normal"
1973-05-31,5465.33916121832,"MaxDS_Even",1973,5,"Above Normal"
1973-06-30,15955.5166693506,"MaxDS_Even",1973,6,"Above Normal"
1973-07-31,21401.0168454664,"MaxDS_Even",1973,7,"Above Normal"
1973-08-31,16702.0210381423,"MaxDS_Even",1973,8,"Above Normal"
1973-09-30,7179.12985125725,"MaxDS_Even",1973,9,"Above Normal"
1973-10-31,7578.95079401803,"MaxDS_Even",1973,10,"Above Normal"
1973-11-30,3250,"MaxDS_Even",1973,11,"Above Normal"
1978-04-30,3155.49598750827,"MaxDS_Even",1978,4,"Above Normal"
1978-05-31,8334.91086185521,"MaxDS_Even",1978,5,"Above Normal"
1978-06-30,7346.77661230108,"MaxDS_Even",1978,6,"Above Normal"
1978-07-31,17744.5869098257,"MaxDS_Even",1978,7,"Above Normal"
1978-08-31,16104.7371419848,"MaxDS_Even",1978,8,"Above Normal"
1978-09-30,5183.82746029629,"MaxDS_Even",1978,9,"Above Normal"
1978-10-31,12076.2292043031,"MaxDS_Even",1978,10,"Above Normal"
1978-11-30,6545.64945018519,"MaxDS_Even",1978,11,"Above Normal"
1993-04-30,3159.41653465744,"MaxDS_Even",1993,4,"Above Normal"
1993-05-31,6858.57365766501,"MaxDS_Even",1993,5,"Above Normal"
1993-06-30,10113.4613659621,"MaxDS_Even",1993,6,"Above Normal"
1993-07-31,19702.0423884509,"MaxDS_Even",1993,7,"Above Normal"
1993-08-31,16435.8593189613,"MaxDS_Even",1993,8,"Above Normal"
1993-09-30,8809.23657284904,"MaxDS_Even",1993,9,"Above Normal"
1993-10-31,10016.4929593379,"MaxDS_Even",1993,10,"Above Normal"
1993-11-30,7293.74538124571,"MaxDS_Even",1993,11,"Above Normal"
2000-04-30,3768.08909434253,"MaxDS_Even",2000,4,"Above Normal"
2000-05-31,8099.9529086454,"MaxDS_Even",2000,5,"Above Normal"
2000-06-30,16248.9153658898,"MaxDS_Even",2000,6,"Above Normal"
