"Date","SAC_Keswick_CFS","scenario","year","month","WY_type"
1922-04-30,7410.61486296222,"June",1922,4,"Above Normal"
1922-05-31,8770.80060802143,"June",1922,5,"Above Normal"
1922-06-30,10557.3905797682,"June",1922,6,"Above Normal"
1922-07-31,12835.9031932875,"June",1922,7,"Above Normal"
1922-08-31,9173.51858964574,"June",1922,8,"Above Normal"
1922-09-30,7208.14452653404,"June",1922,9,"Above Normal"
1922-10-31,6323.20518004562,"June",1922,10,"Above Normal"
1922-11-30,4442.97259571803,"June",1922,11,"Above Normal"
1928-04-30,5876.80669434019,"June",1928,4,"Above Normal"
1928-05-31,11113.0171477326,"June",1928,5,"Above Normal"
1928-06-30,13380.6233938376,"June",1928,6,"Above Normal"
1928-07-31,16000,"June",1928,7,"Above Normal"
1928-08-31,12985.7098389167,"June",1928,8,"Above Normal"
1928-09-30,5652.3260170458,"June",1928,9,"Above Normal"
1928-10-31,5621.75510041861,"June",1928,10,"Above Normal"
1928-11-30,4407.69995166994,"June",1928,11,"Above Normal"
1940-04-30,3089.75312533922,"June",1940,4,"Above Normal"
1940-05-31,8653.50928521155,"June",1940,5,"Above Normal"
1940-06-30,13230.6311137067,"June",1940,6,"Above Normal"
1940-07-31,16000,"June",1940,7,"Above Normal"
1940-08-31,12003.1944420792,"June",1940,8,"Above Normal"
1940-09-30,6184.87358330022,"June",1940,9,"Above Normal"
1940-10-31,4820.06689970787,"June",1940,10,"Above Normal"
1940-11-30,6124.47981831669,"June",1940,11,"Above Normal"
1953-04-30,5770.8333335,"June",1953,4,"Above Normal"
1953-05-31,5961.00209388495,"June",1953,5,"Above Normal"
1953-06-30,8337.11312316622,"June",1953,6,"Above Normal"
1953-07-31,15846.5914001746,"June",1953,7,"Above Normal"
1953-08-31,9411.19023734275,"June",1953,8,"Above Normal"
1953-09-30,6814.19378740141,"June",1953,9,"Above Normal"
1953-10-31,8361.01165281643,"June",1953,10,"Above Normal"
1953-11-30,6679.18452669725,"June",1953,11,"Above Normal"
1954-04-30,9555.50971069692,"June",1954,4,"Above Normal"
1954-05-31,7876.19878401821,"June",1954,5,"Above Normal"
1954-06-30,13286.3490118102,"June",1954,6,"Above Normal"
1954-07-31,16000,"June",1954,7,"Above Normal"
1954-08-31,11275.2996163806,"June",1954,8,"Above Normal"
1954-09-30,5991.54658907191,"June",1954,9,"Above Normal"
1954-10-31,6261.36759575363,"June",1954,10,"Above Normal"
1954-11-30,4497.67156610376,"June",1954,11,"Above Normal"
1973-04-30,3179.68003905278,"June",1973,4,"Above Normal"
1973-05-31,7914.07917415798,"June",1973,5,"Above Normal"
1973-06-30,11371.755570919,"June",1973,6,"Above Normal"
1973-07-31,16000,"June",1973,7,"Above Normal"
1973-08-31,11175.7319226696,"June",1973,8,"Above Normal"
1973-09-30,5253.59652158843,"June",1973,9,"Above Normal"
1973-10-31,5349.83358337076,"June",1973,10,"Above Normal"
1973-11-30,23171.858863915,"June",1973,11,"Above Normal"
1975-04-30,3250,"June",1975,4,"Above Normal"
1975-05-31,9229.21502149594,"June",1975,5,"Above Normal"
1975-06-30,8719.26534861856,"June",1975,6,"Above Normal"
1975-07-31,14759.7439546888,"June",1975,7,"Above Normal"
1975-08-31,9347.4101399814,"June",1975,8,"Above Normal"
1975-09-30,6654.77989662676,"June",1975,9,"Above Normal"
1975-10-31,9049.44082268571,"June",1975,10,"Above Normal"
1975-11-30,5459.23718609098,"June",1975,11,"Above Normal"
1978-04-30,3568.51858197596,"June",1978,4,"Above Normal"
1978-05-31,6467.58813364931,"June",1978,5,"Above Normal"
1978-06-30,8783.58429110913,"June",1978,6,"Above Normal"
1978-07-31,16000,"June",1978,7,"Above Normal"
1978-08-31,8603.93007088069,"June",1978,8,"Above Normal"
1978-09-30,5780.21100311791,"June",1978,9,"Above Normal"
1978-10-31,8619.62338359897,"June",1978,10,"Above Normal"
1978-11-30,7753.64249489846,"June",1978,11,"Above Normal"
1980-04-30,5284.24846705783,"June",1980,4,"Above Normal"
1980-05-31,6661.37252185428,"June",1980,5,"Above Normal"
1980-06-30,8597.12381678233,"June",1980,6,"Above Normal"
1980-07-31,11025.6643229588,"June",1980,7,"Above Normal"
1980-08-31,9441.13701321355,"June",1980,8,"Above Normal"
1980-09-30,6776.38181432592,"June",1980,9,"Above Normal"
1980-10-31,6719.17857473059,"June",1980,10,"Above Normal"
1980-11-30,8478.63468061408,"June",1980,11,"Above Normal"
1993-04-30,3181.75383965275,"June",1993,4,"Above Normal"
1993-05-31,5048.37465005032,"June",1993,5,"Above Normal"
1993-06-30,8688.22254203953,"June",1993,6,"Above Normal"
1993-07-31,14167.246889706,"June",1993,7,"Above Normal"
1993-08-31,8470.07386123157,"June",1993,8,"Above Normal"
1993-09-30,7227.09136290972,"June",1993,9,"Above Normal"
1993-10-31,6995.59518167728,"June",1993,10,"Above Normal"
1993-11-30,6358.69233974018,"June",1993,11,"Above Normal"
2000-04-30,3250,"June",2000,4,"Above Normal"
2000-05-31,6334.55284828023,"June",2000,5,"Above Normal"
2000-06-30,11033.288421534,"June",2000,6,"Above Normal"
2000-07-31,16000,"June",2000,7,"Above Normal"
2000-08-31,10889.1775168942,"June",2000,8,"Above Normal"
2000-09-30,6302.42134824534,"June",2000,9,"Above Normal"
2000-10-31,4387.01642919653,"June",2000,10,"Above Normal"
2000-11-30,5509.5111678445,"June",2000,11,"Above Normal"
2003-04-30,10351.0960527464,"June",2003,4,"Above Normal"
2003-05-31,12441.4889254323,"June",2003,5,"Above Normal"
2003-06-30,10243.8797405333,"June",2003,6,"Above Normal"
2003-07-31,16000,"June",2003,7,"Above Normal"
2003-08-31,8955.02941989099,"June",2003,8,"Above Normal"
2003-09-30,6232.20285973666,"June",2003,9,"Above Normal"
2003-10-31,7755.83952559671,"June",2003,10,"Above Normal"
2003-11-30,4851.73387918947,"June",2003,11,"Above Normal"
1922-04-30,5770.8333335,"MaxDS_Even",1922,4,"Above Normal"
1922-05-31,9044.28357951232,"MaxDS_Even",1922,5,"Above Normal"
1922-06-30,12853.4013715464,"MaxDS_Even",1922,6,"Above Normal"
1922-07-31,23616.1411675805,"MaxDS_Even",1922,7,"Above Normal"
1922-08-31,16000,"MaxDS_Even",1922,8,"Above Normal"
1922-09-30,8611.45671513025,"MaxDS_Even",1922,9,"Above Normal"
1922-10-31,10662.4813383827,"MaxDS_Even",1922,10,"Above Normal"
1922-11-30,4823.04496197742,"MaxDS_Even",1922,11,"Above Normal"
1928-04-30,5124.2642584571,"MaxDS_Even",1928,4,"Above Normal"
1928-05-31,11601.5140389309,"MaxDS_Even",1928,5,"Above Normal"
1928-06-30,16000,"MaxDS_Even",1928,6,"Above Normal"
1928-07-31,23877.4355770679,"MaxDS_Even",1928,7,"Above Normal"
1928-08-31,20164.4332330859,"MaxDS_Even",1928,8,"Above Normal"
1928-09-30,8294.94179509912,"MaxDS_Even",1928,9,"Above Normal"
1928-10-31,11219.2381857781,"MaxDS_Even",1928,10,"Above Normal"
1928-11-30,4485.15651558511,"MaxDS_Even",1928,11,"Above Normal"
1940-04-30,3116.53110604194,"MaxDS_Even",1940,4,"Above Normal"
1940-05-31,8792.47234589892,"MaxDS_Even",1940,5,"Above Normal"
1940-06-30,17121.6452005949,"MaxDS_Even",1940,6,"Above Normal"
1940-07-31,24115.5646335793,"MaxDS_Even",1940,7,"Above Normal"
1940-08-31,20571.4878731191,"MaxDS_Even",1940,8,"Above Normal"
