"Date","Shasta_storage","Oroville_storage","Folsom_storage","WY_type_SAC","RockSlough_chloride","JerseyPoint_EC","SWP_DeltaExport","CVP_DeltaExport","scenario","year","month"
1920-11-30,3070.27685546875,2397.28442382812,633.526245117188,NA,NA,NA,NA,NA,"StatusQuo",1920,11
1920-12-31,3070.27685546875,2397.28442382812,633.526245117188,NA,NA,NA,NA,NA,"StatusQuo",1920,12
1921-01-31,3070.27685546875,2397.28442382812,633.526245117188,NA,NA,NA,NA,NA,"StatusQuo",1921,1
1921-02-28,3070.27685546875,2397.28442382812,633.526245117188,NA,NA,NA,NA,NA,"StatusQuo",1921,2
1921-03-31,3070.27685546875,2397.28442382812,633.526245117188,5,NA,NA,NA,NA,"StatusQuo",1921,3
1921-04-30,3070.27685546875,2397.28442382812,633.526245117188,5,NA,NA,NA,NA,"StatusQuo",1921,4
1921-05-31,3070.27685546875,2397.28442382812,633.526245117188,2,NA,NA,NA,NA,"StatusQuo",1921,5
1921-06-30,3070.27685546875,2397.28442382812,633.526245117188,2,NA,NA,NA,NA,"StatusQuo",1921,6
1921-07-31,3070.27685546875,2397.28442382812,633.526245117188,2,NA,NA,NA,NA,"StatusQuo",1921,7
1921-08-31,3070.27685546875,2397.28442382812,633.526245117188,2,NA,NA,NA,NA,"StatusQuo",1921,8
1921-09-30,3070.27685546875,2397.28442382812,633.526245117188,2,NA,NA,NA,NA,"StatusQuo",1921,9
1921-10-31,3055.43263622345,2242.0650822585,586.047045827988,2,NA,NA,NA,NA,"StatusQuo",1921,10
1921-11-30,2892.35311185476,2177.90081115032,493.590872275024,2,34.9333744,249.55716,3299.18247991024,6665.14674312852,"StatusQuo",1921,11
1921-12-31,3060.79009066216,2274.46353432693,527.602391759209,2,56.7566965,849.4999,7472.11277851075,4605.93487775365,"StatusQuo",1921,12
1922-01-31,3145.92137985348,2300.18350212152,567,2,227.5729171,1310.2081,2806.71702842587,4208.27739459158,"StatusQuo",1922,1
1922-02-28,3576.17826092903,2628.32078231184,567,3,70.30207675,447.96115,3974.14037303985,4597.05022739473,"StatusQuo",1922,2
1922-03-31,4025.63937492989,2819.89990234375,756,3,60.7583245,271.3863,6560.04435699804,1512.46893317068,"StatusQuo",1922,3
1922-04-30,4414.30103649738,3336.33754101438,900,2,38.904724,239.23682,3033.50900607816,4282.80738030568,"StatusQuo",1922,4
