Date,WY_type_SAC,RockSlough_chloride,JerseyPoint_EC,scenario,year,month
11/30/1920,NA,NA,NA,StatusQuo,1920,11
12/31/1920,NA,NA,NA,StatusQuo,1920,12
1/31/1921,NA,NA,NA,StatusQuo,1921,1
2/28/1921,NA,NA,NA,StatusQuo,1921,2
3/31/1921,5,NA,NA,StatusQuo,1921,3
4/30/1921,5,NA,NA,StatusQuo,1921,4
5/31/1921,2,NA,NA,StatusQuo,1921,5
6/30/1921,2,NA,NA,StatusQuo,1921,6
7/31/1921,2,NA,NA,StatusQuo,1921,7
8/31/1921,2,NA,NA,StatusQuo,1921,8
9/30/1921,2,NA,NA,StatusQuo,1921,9
10/31/1921,2,NA,NA,StatusQuo,1921,10
11/30/1921,2,30.4763905,222.66362,StatusQuo,1921,11
12/31/1921,2,22.999992,522.97845,StatusQuo,1921,12
1/31/1922,2,73.63774525,669.4961,StatusQuo,1922,1
2/28/1922,3,39.2580955,269.47595,StatusQuo,1922,2
3/31/1922,3,50.69506,252.44026,StatusQuo,1922,3
4/30/1922,2,32.32721755,238.12404,StatusQuo,1922,4
5/31/1922,2,27.496152,219.80232,StatusQuo,1922,5
6/30/1922,2,21.578061,218.11894,StatusQuo,1922,6
7/31/1922,2,21.9486285,227.64644,StatusQuo,1922,7
8/31/1922,2,26.008626,406.11896,StatusQuo,1922,8
9/30/1922,2,38.3901907,768.5419,StatusQuo,1922,9
10/31/1922,2,35.768983,505.05496,StatusQuo,1922,10
11/30/1922,2,22.121484,282.6973,StatusQuo,1922,11
12/31/1922,2,30.220647,589.3279,StatusQuo,1922,12
1/31/1923,2,49.7409655,391.1771,StatusQuo,1923,1
2/28/1923,3,31.48753345,219.91809,StatusQuo,1923,2
3/31/1923,3,33.40119445,231.82487,StatusQuo,1923,3
4/30/1923,4,37.3872415,246.5238,StatusQuo,1923,4
5/31/1923,3,36.3633334,243.26039,StatusQuo,1923,5
6/30/1923,3,28.6393845,225.31966,StatusQuo,1923,6
7/31/1923,3,27.918612,306.39194,StatusQuo,1923,7
8/31/1923,3,30.3811948,728.6972,StatusQuo,1923,8
9/30/1923,3,71.70946375,1180.4684,StatusQuo,1923,9
10/31/1923,3,139.2739036,1656.0902,StatusQuo,1923,10
11/30/1923,3,132.7368415,1588.7635,StatusQuo,1923,11
12/31/1923,3,173.7698875,1762.9226,StatusQuo,1923,12
1/31/1924,3,180.4358238,1497.8242,StatusQuo,1924,1
2/29/1924,5,154.9893565,1393.158,StatusQuo,1924,2
3/31/1924,5,103.4016775,737.9479,StatusQuo,1924,3
4/30/1924,5,74.21148445,359.44055,StatusQuo,1924,4
5/31/1924,5,72.27949795,478.7584,StatusQuo,1924,5
6/30/1924,5,76.0410505,905.8576,StatusQuo,1924,6
7/31/1924,5,154.934551,1651.2113,StatusQuo,1924,7
8/31/1924,5,210.6469039,1720.6693,StatusQuo,1924,8
9/30/1924,5,181.1823841,1471.0726,StatusQuo,1924,9
10/31/1924,5,189.303385,1492.9075,StatusQuo,1924,10
11/30/1924,5,201.654088,2128.9197,StatusQuo,1924,11
12/31/1924,5,218.3558005,2284.6357,StatusQuo,1924,12
1/31/1925,5,203.912884,1532.9745,StatusQuo,1925,1
2/28/1925,5,116.2859661,895.10724,StatusQuo,1925,2
3/31/1925,4,65.13023305,392.43256,StatusQuo,1925,3
4/30/1925,4,29.316087,245.31795,StatusQuo,1925,4
5/31/1925,4,29.239956,245.24992,StatusQuo,1925,5
6/30/1925,4,32.9921767,240.71338,StatusQuo,1925,6
7/31/1925,4,27.6509955,295.93292,StatusQuo,1925,7
8/31/1925,4,36.9511801,707.2287,StatusQuo,1925,8
9/30/1925,4,80.3838634,1160.3441,StatusQuo,1925,9
10/31/1925,4,136.7284546,1757.4952,StatusQuo,1925,10
11/30/1925,4,176.163745,1632.0664,StatusQuo,1925,11
12/31/1925,4,172.7630965,1745.3699,StatusQuo,1925,12
1/31/1926,4,185.354197,1513.7567,StatusQuo,1926,1
2/28/1926,5,126.5188255,910.1634,StatusQuo,1926,2
3/31/1926,4,57.36747145,315.2608,StatusQuo,1926,3
4/30/1926,5,55.1012113,244.9728,StatusQuo,1926,4
5/31/1926,4,40.3284985,246.14072,StatusQuo,1926,5
6/30/1926,4,25.8852465,250.18544,StatusQuo,1926,6
7/31/1926,4,24.714864,346.7994,StatusQuo,1926,7
8/31/1926,4,36.1949668,676.6947,StatusQuo,1926,8
9/30/1926,4,77.327341,1039.639,StatusQuo,1926,9
10/31/1926,4,127.3172815,1747.0237,StatusQuo,1926,10
11/30/1926,4,169.650925,1782.3894,StatusQuo,1926,11
12/31/1926,4,131.6209639,1009.68024,StatusQuo,1926,12
1/31/1927,4,53.7222559,460.63208,StatusQuo,1927,1
2/28/1927,3,32.46596125,334.06955,StatusQuo,1927,2
3/31/1927,2,27.315111,238.88628,StatusQuo,1927,3
4/30/1927,2,26.736822,228.25288,StatusQuo,1927,4
5/31/1927,1,36.77776045,219.27197,StatusQuo,1927,5
6/30/1927,1,25.855818,223.32063,StatusQuo,1927,6
7/31/1927,1,24.05574,250.29347,StatusQuo,1927,7
8/31/1927,1,26.3661825,452.94467,StatusQuo,1927,8
9/30/1927,1,43.7905018,740.9817,StatusQuo,1927,9
10/31/1927,1,45.3619975,445.20303,StatusQuo,1927,10
11/30/1927,1,20.125941,286.97806,StatusQuo,1927,11
12/31/1927,1,45.6706582,833.66907,StatusQuo,1927,12
1/31/1928,1,218.895277,1405.8586,StatusQuo,1928,1
2/29/1928,3,165.7913695,847.33856,StatusQuo,1928,2
3/31/1928,3,47.11838695,293.16003,StatusQuo,1928,3
4/30/1928,2,25.759893,237.28958,StatusQuo,1928,4
5/31/1928,2,26.28741,221.41298,StatusQuo,1928,5
6/30/1928,2,25.983183,231.12862,StatusQuo,1928,6
7/31/1928,2,23.6010435,296.2244,StatusQuo,1928,7
8/31/1928,2,25.5414435,433.82098,StatusQuo,1928,8
9/30/1928,2,42.2735779,849.17444,StatusQuo,1928,9
10/31/1928,2,57.02738095,491.4577,StatusQuo,1928,10
11/30/1928,2,23.280045,255.11496,StatusQuo,1928,11
12/31/1928,2,31.4473855,663.8665,StatusQuo,1928,12
1/31/1929,2,174.3333895,1360.2166,StatusQuo,1929,1
2/28/1929,4,198.7961451,1430.3246,StatusQuo,1929,2
3/31/1929,4,117.7673961,552.9354,StatusQuo,1929,3
4/30/1929,5,49.6652695,294.94656,StatusQuo,1929,4
5/31/1929,5,54.695719,336.3841,StatusQuo,1929,5
6/30/1929,5,55.49165275,616.10443,StatusQuo,1929,6
7/31/1929,5,108.2489575,1120.1948,StatusQuo,1929,7
8/31/1929,5,135.939301,1325.4635,StatusQuo,1929,8
9/30/1929,5,129.899866,1263.9185,StatusQuo,1929,9
10/31/1929,5,153.4208191,1788.9395,StatusQuo,1929,10
11/30/1929,5,200.724076,2121.753,StatusQuo,1929,11
12/31/1929,5,221.3737795,1924.2612,StatusQuo,1929,12
1/31/1930,5,162.470806,939.90247,StatusQuo,1930,1
2/28/1930,4,50.3071351,330.81888,StatusQuo,1930,2
3/31/1930,4,42.74496505,247.46732,StatusQuo,1930,3
4/30/1930,4,33.9017884,238.35617,StatusQuo,1930,4
5/31/1930,4,30.8834845,243.81606,StatusQuo,1930,5
6/30/1930,4,30.0013275,282.2919,StatusQuo,1930,6
7/31/1930,4,29.143905,450.65192,StatusQuo,1930,7
8/31/1930,4,53.2176463,954.6324,StatusQuo,1930,8
9/30/1930,4,91.9010212,1296.1106,StatusQuo,1930,9
10/31/1930,4,139.9872985,1742.9784,StatusQuo,1930,10
11/30/1930,4,187.5867616,1830.3483,StatusQuo,1930,11
12/31/1930,4,187.893433,1841.175,StatusQuo,1930,12
1/31/1931,4,213.088744,1838.6318,StatusQuo,1931,1
2/28/1931,5,177.4828105,1110.5017,StatusQuo,1931,2
3/31/1931,5,82.0934815,524.70557,StatusQuo,1931,3
4/30/1931,5,74.5379605,518.11865,StatusQuo,1931,4
5/31/1931,5,80.1457003,785.15076,StatusQuo,1931,5
6/30/1931,5,101.889553,1282.4539,StatusQuo,1931,6
7/31/1931,5,155.7609085,1409.95,StatusQuo,1931,7
8/31/1931,5,141.5406625,1501.024,StatusQuo,1931,8
9/30/1931,5,174.535369,1732.185,StatusQuo,1931,9
10/31/1931,5,204.140941,1629.9218,StatusQuo,1931,10
11/30/1931,5,220.097749,1998.4196,StatusQuo,1931,11
12/31/1931,5,224.7498895,1647.696,StatusQuo,1931,12
1/31/1932,5,111.223759,619.53876,StatusQuo,1932,1
2/29/1932,4,38.1291706,264.89377,StatusQuo,1932,2
3/31/1932,4,40.65651925,246.4501,StatusQuo,1932,3
4/30/1932,5,32.86749775,247.2271,StatusQuo,1932,4
5/31/1932,5,36.9265048,282.64154,StatusQuo,1932,5
6/30/1932,5,31.38768655,277.01404,StatusQuo,1932,6
7/31/1932,5,43.109785,399.22757,StatusQuo,1932,7
8/31/1932,5,64.7970823,931.8423,StatusQuo,1932,8
9/30/1932,5,127.5464586,1402.322,StatusQuo,1932,9
10/31/1932,5,187.9975606,2124.9072,StatusQuo,1932,10
11/30/1932,5,226.190479,2212.7244,StatusQuo,1932,11
12/31/1932,5,218.871907,2253.148,StatusQuo,1932,12
1/31/1933,5,205.9507338,1524.3534,StatusQuo,1933,1
2/28/1933,5,118.1620384,800.2697,StatusQuo,1933,2
3/31/1933,5,71.8107043,459.40567,StatusQuo,1933,3
4/30/1933,5,55.26722095,357.81168,StatusQuo,1933,4
5/31/1933,5,66.5860216,401.68713,StatusQuo,1933,5
6/30/1933,5,66.90753295,691.98224,StatusQuo,1933,6
7/31/1933,5,111.6397165,1278.4244,StatusQuo,1933,7
8/31/1933,5,176.0066359,1691.4103,StatusQuo,1933,8
9/30/1933,5,168.9768544,1666.9379,StatusQuo,1933,9
10/31/1933,5,185.1955204,1646.1957,StatusQuo,1933,10
11/30/1933,5,200.153848,2103.9321,StatusQuo,1933,11
12/31/1933,5,225.2838541,1943.093,StatusQuo,1933,12
1/31/1934,5,222.4242696,1417.5505,StatusQuo,1934,1
2/28/1934,5,95.3053975,537.6008,StatusQuo,1934,2
3/31/1934,5,41.3961541,289.05597,StatusQuo,1934,3
4/30/1934,5,28.88742,269.46793,StatusQuo,1934,4
5/31/1934,5,46.8224629,380.69223,StatusQuo,1934,5
6/30/1934,5,57.0786895,916.90875,StatusQuo,1934,6
7/31/1934,5,131.112256,1456.0577,StatusQuo,1934,7
8/31/1934,5,155.29804,1594.5322,StatusQuo,1934,8
9/30/1934,5,166.6854145,1691.6658,StatusQuo,1934,9
10/31/1934,5,193.4379741,1946.6333,StatusQuo,1934,10
11/30/1934,5,226.8519469,2163.134,StatusQuo,1934,11
12/31/1934,5,226.0008771,1826.4214,StatusQuo,1934,12
1/31/1935,5,208.4785555,1611.2532,StatusQuo,1935,1
2/28/1935,4,120.4688455,607.9699,StatusQuo,1935,2
3/31/1935,4,41.3397355,248.96017,StatusQuo,1935,3
4/30/1935,4,29.2759605,252.06804,StatusQuo,1935,4
5/31/1935,3,27.0120255,236.0699,StatusQuo,1935,5
6/30/1935,3,27.7250055,227.59795,StatusQuo,1935,6
7/31/1935,3,23.7502905,288.86584,StatusQuo,1935,7
8/31/1935,3,31.232923,734.56323,StatusQuo,1935,8
9/30/1935,3,81.08223025,1261.8302,StatusQuo,1935,9
10/31/1935,3,148.5723535,1712.9017,StatusQuo,1935,10
11/30/1935,3,134.3886331,1629.7238,StatusQuo,1935,11
12/31/1935,3,157.8277086,1776.8744,StatusQuo,1935,12
1/31/1936,3,174.4322988,1511.2217,StatusQuo,1936,1
2/29/1936,3,87.8449981,487.8963,StatusQuo,1936,2
3/31/1936,2,42.7550113,228.2217,StatusQuo,1936,3
4/30/1936,3,29.25372,228.85773,StatusQuo,1936,4
5/31/1936,3,29.228979,206.66318,StatusQuo,1936,5
6/30/1936,3,27.1624695,239.01654,StatusQuo,1936,6
7/31/1936,3,29.047065,383.66888,StatusQuo,1936,7
8/31/1936,3,35.39568145,733.38257,StatusQuo,1936,8
9/30/1936,3,79.85336725,1277.5393,StatusQuo,1936,9
10/31/1936,3,157.6223433,1728.9556,StatusQuo,1936,10
11/30/1936,3,150.824167,1744.6018,StatusQuo,1936,11
12/31/1936,3,164.577526,1762.0721,StatusQuo,1936,12
1/31/1937,3,209.2285045,1445.9894,StatusQuo,1937,1
2/28/1937,4,132.880054,908.57385,StatusQuo,1937,2
3/31/1937,4,72.158011,323.4577,StatusQuo,1937,3
4/30/1937,4,45.3322207,242.24547,StatusQuo,1937,4
5/31/1937,3,32.848531,220.86586,StatusQuo,1937,5
6/30/1937,3,25.2431145,236.77197,StatusQuo,1937,6
7/31/1937,3,24.957408,298.66895,StatusQuo,1937,7
8/31/1937,3,32.6505643,750.4078,StatusQuo,1937,8
9/30/1937,3,88.97968,1301.7948,StatusQuo,1937,9
10/31/1937,3,148.1756991,1728.0223,StatusQuo,1937,10
11/30/1937,3,157.708855,1677.2747,StatusQuo,1937,11
12/31/1937,3,143.6970295,1271.2473,StatusQuo,1937,12
1/31/1938,3,49.674817,305.35806,StatusQuo,1938,1
2/28/1938,2,26.529597,209.70525,StatusQuo,1938,2
3/31/1938,1,24.212373,213.73145,StatusQuo,1938,3
4/30/1938,1,15.892755,182.81137,StatusQuo,1938,4
5/31/1938,1,15.878277,173.18863,StatusQuo,1938,5
