Date,WY_type_SAC,RockSlough_chloride,JerseyPoint_EC,scenario,year,month
11/30/1920,NA,NA,NA,StatusQuo,1920,11
12/31/1920,NA,NA,NA,StatusQuo,1920,12
1/31/1921,NA,NA,NA,StatusQuo,1921,1
2/28/1921,NA,NA,NA,StatusQuo,1921,2
3/31/1921,5,NA,NA,StatusQuo,1921,3
4/30/1921,5,NA,NA,StatusQuo,1921,4
5/31/1921,2,NA,NA,StatusQuo,1921,5
6/30/1921,2,NA,NA,StatusQuo,1921,6
7/31/1921,2,NA,NA,StatusQuo,1921,7
8/31/1921,2,NA,NA,StatusQuo,1921,8
9/30/1921,2,NA,NA,StatusQuo,1921,9
10/31/1921,2,NA,NA,StatusQuo,1921,10
11/30/1921,2,34.9333744,249.55716,StatusQuo,1921,11
12/31/1921,2,56.7566965,849.4999,StatusQuo,1921,12
1/31/1922,2,227.5729171,1310.2081,StatusQuo,1922,1
2/28/1922,3,70.30207675,447.96115,StatusQuo,1922,2
3/31/1922,3,60.7583245,271.3863,StatusQuo,1922,3
4/30/1922,2,38.904724,239.23682,StatusQuo,1922,4
5/31/1922,2,28.6729575,232.1971,StatusQuo,1922,5
6/30/1922,2,21.8000205,214.04214,StatusQuo,1922,6
7/31/1922,2,18.7638705,201.81924,StatusQuo,1922,7
8/31/1922,2,19.4915385,259.44318,StatusQuo,1922,8
9/30/1922,2,27.5584305,703.17816,StatusQuo,1922,9
10/31/1922,2,33.5247334,393.90652,StatusQuo,1922,10
11/30/1922,2,20.9648025,276.63248,StatusQuo,1922,11
12/31/1922,2,30.743236,565.2174,StatusQuo,1922,12
1/31/1923,2,51.5174389,422.99786,StatusQuo,1923,1
2/28/1923,2,29.0536695,227.34586,StatusQuo,1923,2
3/31/1923,3,31.2690268,234.63152,StatusQuo,1923,3
4/30/1923,4,30.9665905,246.15216,StatusQuo,1923,4
5/31/1923,3,32.7614236,242.71512,StatusQuo,1923,5
6/30/1923,3,28.13589,222.12314,StatusQuo,1923,6
7/31/1923,3,27.281337,262.6224,StatusQuo,1923,7
8/31/1923,3,28.967724,702.6464,StatusQuo,1923,8
9/30/1923,3,77.18254675,1225.3656,StatusQuo,1923,9
10/31/1923,3,140.4901981,1674.8589,StatusQuo,1923,10
11/30/1923,3,128.5529161,1498.1608,StatusQuo,1923,11
12/31/1923,3,146.5777411,1761.3934,StatusQuo,1923,12
1/31/1924,3,207.2149225,1710.3754,StatusQuo,1924,1
2/29/1924,5,171.015847,1414.5448,StatusQuo,1924,2
3/31/1924,5,106.047304,750.5311,StatusQuo,1924,3
4/30/1924,5,81.235147,415.25098,StatusQuo,1924,4
5/31/1924,5,69.920533,587.0126,StatusQuo,1924,5
6/30/1924,5,87.0399643,1048.094,StatusQuo,1924,6
7/31/1924,5,157.993114,1435.8188,StatusQuo,1924,7
8/31/1924,5,159.3030595,1466.7847,StatusQuo,1924,8
9/30/1924,5,165.311629,1461.8254,StatusQuo,1924,9
10/31/1924,5,187.2697105,1508.4943,StatusQuo,1924,10
11/30/1924,5,203.04694,2187.202,StatusQuo,1924,11
12/31/1924,5,222.3505315,2322.8625,StatusQuo,1924,12
1/31/1925,5,208.5492213,1592.1246,StatusQuo,1925,1
2/28/1925,5,126.6457075,1036.5706,StatusQuo,1925,2
3/31/1925,4,67.7408872,443.27725,StatusQuo,1925,3
4/30/1925,4,27.992592,245.8436,StatusQuo,1925,4
5/31/1925,4,29.210682,246.00064,StatusQuo,1925,5
6/30/1925,4,29.204925,235.56816,StatusQuo,1925,6
7/31/1925,4,26.179155,259.0036,StatusQuo,1925,7
8/31/1925,4,30.031068,625.98517,StatusQuo,1925,8
9/30/1925,4,75.8128282,1075.7365,StatusQuo,1925,9
10/31/1925,4,139.011031,1762.5823,StatusQuo,1925,10
11/30/1925,4,175.3365781,1694.4299,StatusQuo,1925,11
12/31/1925,4,167.7048025,1749.9778,StatusQuo,1925,12
1/31/1926,4,201.27595,1600.8636,StatusQuo,1926,1
2/28/1926,5,142.2418195,1024.0228,StatusQuo,1926,2
3/31/1926,4,61.78652755,326.15918,StatusQuo,1926,3
4/30/1926,5,51.6395215,244.30878,StatusQuo,1926,4
5/31/1926,4,40.51344355,246.269,StatusQuo,1926,5
6/30/1926,4,27.6701295,254.74763,StatusQuo,1926,6
7/31/1926,4,26.908452,375.45285,StatusQuo,1926,7
8/31/1926,4,46.692064,924.63464,StatusQuo,1926,8
9/30/1926,4,99.0226525,1269.863,StatusQuo,1926,9
10/31/1926,4,137.7615454,1761.3411,StatusQuo,1926,10
11/30/1926,4,177.7387405,1758.6368,StatusQuo,1926,11
12/31/1926,4,137.4029299,1258.5872,StatusQuo,1926,12
1/31/1927,4,115.1445895,909.8063,StatusQuo,1927,1
2/28/1927,3,81.735664,629.835,StatusQuo,1927,2
3/31/1927,1,26.7465495,240.81564,StatusQuo,1927,3
4/30/1927,1,24.267258,233.78331,StatusQuo,1927,4
5/31/1927,1,29.510088,221.96088,StatusQuo,1927,5
6/30/1927,1,24.9848925,214.22084,StatusQuo,1927,6
7/31/1927,1,21.799707,208.41023,StatusQuo,1927,7
8/31/1927,1,21.755145,357.65665,StatusQuo,1927,8
9/30/1927,1,52.6926193,749.3776,StatusQuo,1927,9
10/31/1927,1,46.696282,559.2603,StatusQuo,1927,10
11/30/1927,1,22.725567,298.8365,StatusQuo,1927,11
12/31/1927,1,35.991682,541.9507,StatusQuo,1927,12
1/31/1928,1,125.78857,1041.8412,StatusQuo,1928,1
2/29/1928,3,144.0920965,733.3271,StatusQuo,1928,2
3/31/1928,3,45.5104426,281.7688,StatusQuo,1928,3
4/30/1928,2,24.51918,232.87679,StatusQuo,1928,4
5/31/1928,2,26.70258,222.15324,StatusQuo,1928,5
6/30/1928,2,27.369045,236.7111,StatusQuo,1928,6
7/31/1928,2,24.7655775,298.48743,StatusQuo,1928,7
8/31/1928,2,25.3263885,435.61438,StatusQuo,1928,8
9/30/1928,2,42.9094699,847.4862,StatusQuo,1928,9
10/31/1928,2,58.5254749,501.94843,StatusQuo,1928,10
11/30/1928,2,22.8160815,253.08925,StatusQuo,1928,11
12/31/1928,2,33.92053,721.26587,StatusQuo,1928,12
1/31/1929,2,194.4945318,1575.694,StatusQuo,1929,1
2/28/1929,4,218.484136,1357.1693,StatusQuo,1929,2
3/31/1929,5,97.88822995,535.81934,StatusQuo,1929,3
4/30/1929,5,47.9768041,335.84177,StatusQuo,1929,4
5/31/1929,5,56.6345455,368.61148,StatusQuo,1929,5
6/30/1929,5,60.3151438,603.7711,StatusQuo,1929,6
7/31/1929,5,107.411847,1158.8787,StatusQuo,1929,7
8/31/1929,5,147.562969,1391.6423,StatusQuo,1929,8
9/30/1929,5,138.214855,1346.6428,StatusQuo,1929,9
10/31/1929,5,162.2403835,1723.7161,StatusQuo,1929,10
11/30/1929,5,204.082288,2045.7031,StatusQuo,1929,11
12/31/1929,5,218.970232,2065.4192,StatusQuo,1929,12
1/31/1930,5,179.7306055,1296.4081,StatusQuo,1930,1
2/28/1930,4,79.9069102,495.75497,StatusQuo,1930,2
3/31/1930,4,37.4431813,268.7395,StatusQuo,1930,3
4/30/1930,4,27.554292,242.19516,StatusQuo,1930,4
5/31/1930,4,30.0353895,243.25076,StatusQuo,1930,5
6/30/1930,4,30.080145,288.2517,StatusQuo,1930,6
7/31/1930,4,28.816818,426.86087,StatusQuo,1930,7
8/31/1930,4,43.908526,800.85223,StatusQuo,1930,8
9/30/1930,4,74.06188795,991.69037,StatusQuo,1930,9
10/31/1930,4,114.7881856,1499.491,StatusQuo,1930,10
11/30/1930,4,169.4060958,1819.3701,StatusQuo,1930,11
12/31/1930,4,209.009026,1933.3954,StatusQuo,1930,12
1/31/1931,4,202.7594434,1573.9917,StatusQuo,1931,1
2/28/1931,5,176.588794,1234.355,StatusQuo,1931,2
3/31/1931,5,113.8867249,876.13513,StatusQuo,1931,3
4/30/1931,5,103.491253,728.0592,StatusQuo,1931,4
5/31/1931,5,89.3467315,831.88885,StatusQuo,1931,5
6/30/1931,5,109.144513,1263.3174,StatusQuo,1931,6
7/31/1931,5,155.21256,1423.763,StatusQuo,1931,7
8/31/1931,5,139.859134,1498.4858,StatusQuo,1931,8
9/30/1931,5,167.51143,1697.8062,StatusQuo,1931,9
10/31/1931,5,202.6386006,1551.903,StatusQuo,1931,10
11/30/1931,5,211.8760006,1874.5637,StatusQuo,1931,11
12/31/1931,5,226.571809,1950.3151,StatusQuo,1931,12
1/31/1932,5,173.07976,1024.5944,StatusQuo,1932,1
2/29/1932,4,54.7390903,384.5214,StatusQuo,1932,2
3/31/1932,5,41.1873973,278.01572,StatusQuo,1932,3
4/30/1932,5,32.624578,249.87253,StatusQuo,1932,4
5/31/1932,5,61.905649,287.41245,StatusQuo,1932,5
6/30/1932,5,38.4660235,265.7326,StatusQuo,1932,6
7/31/1932,5,29.7279555,379.41916,StatusQuo,1932,7
8/31/1932,5,53.2728565,908.05164,StatusQuo,1932,8
9/30/1932,5,113.3358655,1244.8083,StatusQuo,1932,9
10/31/1932,5,158.2649328,1568.3575,StatusQuo,1932,10
11/30/1932,5,189.3715285,2036.9952,StatusQuo,1932,11
12/31/1932,5,223.478476,2268.381,StatusQuo,1932,12
1/31/1933,5,231.684652,1798.4535,StatusQuo,1933,1
2/28/1933,5,173.534677,1163.2234,StatusQuo,1933,2
3/31/1933,5,133.837825,866.3978,StatusQuo,1933,3
4/30/1933,5,96.8570686,568.6902,StatusQuo,1933,4
5/31/1933,5,81.97344805,585.3909,StatusQuo,1933,5
6/30/1933,5,85.78247875,798.42786,StatusQuo,1933,6
7/31/1933,5,123.5746188,1336.8378,StatusQuo,1933,7
8/31/1933,5,177.2740195,1699.1622,StatusQuo,1933,8
9/30/1933,5,172.2612685,1670.3516,StatusQuo,1933,9
10/31/1933,5,190.6114068,1575.2572,StatusQuo,1933,10
11/30/1933,5,194.2891665,1955.0493,StatusQuo,1933,11
12/31/1933,5,225.1999758,2152.6108,StatusQuo,1933,12
1/31/1934,5,226.9335481,1655.6957,StatusQuo,1934,1
2/28/1934,5,126.280765,770.40955,StatusQuo,1934,2
3/31/1934,5,56.0186605,358.0766,StatusQuo,1934,3
4/30/1934,5,31.450948,306.1241,StatusQuo,1934,4
5/31/1934,5,49.81904125,434.79996,StatusQuo,1934,5
6/30/1934,5,66.791803,925.07947,StatusQuo,1934,6
7/31/1934,5,150.5718565,1781.9574,StatusQuo,1934,7
8/31/1934,5,200.8644841,1950.706,StatusQuo,1934,8
9/30/1934,5,179.6091784,1696.2407,StatusQuo,1934,9
10/31/1934,5,200.090578,1723.9281,StatusQuo,1934,10
11/30/1934,5,220.574611,2086.9863,StatusQuo,1934,11
12/31/1934,5,229.4927028,1863.6458,StatusQuo,1934,12
1/31/1935,5,193.1849425,1710.5623,StatusQuo,1935,1
2/28/1935,4,134.327398,666.54663,StatusQuo,1935,2
3/31/1935,4,40.3667968,252.3713,StatusQuo,1935,3
4/30/1935,4,29.03088,256.5943,StatusQuo,1935,4
5/31/1935,3,28.20762,238.40643,StatusQuo,1935,5
6/30/1935,3,28.0899495,226.64488,StatusQuo,1935,6
7/31/1935,3,23.926248,258.15732,StatusQuo,1935,7
8/31/1935,3,23.0821425,500.94577,StatusQuo,1935,8
9/30/1935,3,62.7843838,1015.31995,StatusQuo,1935,9
10/31/1935,3,138.4700155,1713.2993,StatusQuo,1935,10
11/30/1935,3,178.5933273,1469.9174,StatusQuo,1935,11
12/31/1935,3,145.67815,1759.709,StatusQuo,1935,12
1/31/1936,3,190.0564006,1592.8984,StatusQuo,1936,1
2/29/1936,3,90.8935348,479.88583,StatusQuo,1936,2
3/31/1936,2,45.2530705,235.80548,StatusQuo,1936,3
4/30/1936,3,35.8414015,234.01767,StatusQuo,1936,4
5/31/1936,3,31.8785734,220.20877,StatusQuo,1936,5
6/30/1936,3,25.095435,233.79874,StatusQuo,1936,6
7/31/1936,3,25.843266,275.91797,StatusQuo,1936,7
8/31/1936,3,30.4827802,733.26056,StatusQuo,1936,8
9/30/1936,3,88.9187926,1302.718,StatusQuo,1936,9
10/31/1936,3,129.148663,1753.0525,StatusQuo,1936,10
11/30/1936,3,122.4679296,1255.4612,StatusQuo,1936,11
12/31/1936,3,114.854944,1485.9042,StatusQuo,1936,12
1/31/1937,3,200.9562769,1733.9673,StatusQuo,1937,1
2/28/1937,4,163.010482,1188.3707,StatusQuo,1937,2
3/31/1937,4,100.5276235,420.39975,StatusQuo,1937,3
4/30/1937,3,58.0224898,243.01059,StatusQuo,1937,4
5/31/1937,3,30.8652616,227.03543,StatusQuo,1937,5
6/30/1937,3,25.241316,230.6807,StatusQuo,1937,6
7/31/1937,3,25.003557,275.64566,StatusQuo,1937,7
8/31/1937,3,26.948589,590.68024,StatusQuo,1937,8
9/30/1937,3,79.8623305,1207.6737,StatusQuo,1937,9
10/31/1937,3,145.2697735,1715.0059,StatusQuo,1937,10
11/30/1937,3,151.1615785,1686.4816,StatusQuo,1937,11
12/31/1937,3,162.504265,1536.9939,StatusQuo,1937,12
1/31/1938,3,70.8147262,458.11707,StatusQuo,1938,1
2/28/1938,2,27.0921255,223.77322,StatusQuo,1938,2
3/31/1938,1,26.216418,211.90096,StatusQuo,1938,3
4/30/1938,1,16.3054185,195.38698,StatusQuo,1938,4
5/31/1938,1,15.4292655,172.41695,StatusQuo,1938,5
