"","Scenario","Export_SWP","Export_CVP","Withdraw_SWP","Withdraw_CVP"
"1","June",1.24282150268556,2.36074356061657,19.2300234338249,46.2890491149471
"2","MaxDS_Even",523.95094148073,238.218238462111,577.881549421354,2323.80529302404
"3","MaxDS_Hist",354.589488035574,256.11149480699,731.273610078323,2125.07597428943
"4","MaxWater",0,1.3487487549577e-14,0,12.5299360736607
"5","MaxWater_noSMSCG",0,7.91925874470574e-15,0,8.73007362349007
"6","StatusQuo",144.416751944891,101.589747784099,258.985784940208,179.73196293686
"7","SummerFall_Even",207.941503504574,181.146633173419,288.969696196882,579.271696215358
"8","SummerFall_Hist",196.247530394654,137.958060874532,336.355781749609,509.910544907271
"9","Summer_Even",1.27164819261505,2.68284385826535,155.495213890773,457.446967284265
"10","Summer_Even_AltSMSCG",1.26782598653655,2.68604393281011,157.201026448291,424.79694830773
"11","Summer_Hist",2.24378997766663e-14,21.4323538822663,174.924533391441,379.490786102276
